dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",climate change policy,4,1.0,2,3,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",clean development mechanism,1,1.0,1,2,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",emission trading,3,1.0,1,2,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",environmental tax,2,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","pollution control measures (pollution control measures, prevention of pollution)",13,0.6666666666666666,2,6,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",hunting regulations,1,1.0,2,3,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",waste management,4,0.3333333333333333,2,3,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",economic instrument for the environment,7,0.8333333333333334,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",deposit on a polluting product,1,1.0,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","emission allowance (emission allowance, tradeable emission permit)",1,1.0,1,1,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",coastal protection,1,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",conservation of resources,3,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",countryside conservation,1,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","protection of animal life (protection of animal life, protection of animals)",4,0.3333333333333333,2,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",protection of plant life,1,1.0,2,2,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",waste recycling,1,1.0,1,1,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,2,1.0,1,1,0
SemEvalEnvironment_SUB,climate change policy,emission trading,6,1.0,1,1,0
SemEvalEnvironment_SUB,climate change policy,"emission allowance (emission allowance, tradeable emission permit)",2,1.0,1,1,0
SemEvalEnvironment_SUB,economic instrument for the environment,clean development mechanism,3,1.0,2,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,2,4,0
SemEvalEnvironment_SUB,economic instrument for the environment,emission trading,9,1.0,2,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,deposit on a polluting product,3,1.0,2,2,0
SemEvalEnvironment_SUB,economic instrument for the environment,environmental tax,6,1.0,2,2,0
SemEvalEnvironment_SUB,economic instrument for the environment,polluter pays principle,3,1.0,1,1,1
SemEvalEnvironment_SUB,"pollution control measures (pollution control measures, prevention of pollution)","emission allowance (emission allowance, tradeable emission permit)",2,1.0,2,4,1
