dataset,source,parent,child,is_fp,type,model,justification
CellOntology_SUB,gt,branched duct epithelial cell,cholangiocyte,,is_a,gemini-3.1-pro-preview,"A cholangiocyte is an epithelial cell that lines the bile duct, which is a type of branched duct, making it a specific type of branched duct epithelial cell."
CellOntology_SUB,gt,germ line cell,germ cell,,is_a,gemini-3.1-pro-preview,"A germ cell is a specific type of germ line cell that is involved in reproduction (such as a sperm or egg cell), making it a proper subtype of the broader category of germ line cells."
CellOntology_SUB,gt,germ line cell,germline-derived nurse cell,,is_a,gemini-3.1-pro-preview,"A germline-derived nurse cell is a specific subtype of germ line cell that functions to nourish the developing oocyte, making it a proper subsumption."
CellOntology_SUB,gt,peripheral nervous system neuron,autonomic neuron,,is_a,gemini-3.1-pro-preview,"Every autonomic neuron is a type of peripheral nervous system neuron, as the autonomic nervous system is a division of the peripheral nervous system."
CellOntology_SUB,gt,peripheral nervous system neuron,peripheral sensory neuron,,is_a,gemini-3.1-pro-preview,"Every peripheral sensory neuron is by definition a specific type of neuron within the peripheral nervous system, meaning it is a proper subtype of peripheral nervous system neuron."
CellOntology_SUB,gt,sensory neuron,peripheral sensory neuron,,is_a,gemini-3.1-pro-preview,"A peripheral sensory neuron is a specific subtype of sensory neuron that operates in the peripheral nervous system, meaning every instance of the former is an instance of the latter."
CellOntology_SUB,gt,duct epithelial cell,branched duct epithelial cell,,is_a,gemini-3.1-pro-preview,"A branched duct epithelial cell is a specific subtype of duct epithelial cell, meaning every instance of the former is inherently an instance of the latter."
CellOntology_SUB,gt,enteric neuron,intrinsic primary afferent neuron of myenteric plexus,,is_a,gemini-3.1-pro-preview,"An intrinsic primary afferent neuron of the myenteric plexus is a specific type of neuron found within the enteric nervous system, making it a subtype of enteric neuron."
CellOntology_SUB,gt,lymphocyte of b lineage cd19-positive,b cell cd19-positive,,is_a,gemini-3.1-pro-preview,"A B cell is a specific type of lymphocyte of the B lineage, meaning every CD19-positive B cell is by definition a CD19-positive lymphocyte of the B lineage."
CellOntology_SUB,gt,mucus secreting cell,large mucus secreting cholangiocyte,,is_a,gemini-3.1-pro-preview,"A large mucus secreting cholangiocyte is a specific type of cell that secretes mucus, making it a proper subtype of a mucus secreting cell."
CellOntology_SUB,gt,neurecto-epithelial cell,olfactory epithelial cell,,is_a,gemini-3.1-pro-preview,An olfactory epithelial cell is a specific type of neurecto-epithelial cell because the olfactory epithelium is a specialized neuroepithelium.
CellOntology_SUB,gt,cholangiocyte,large mucus secreting cholangiocyte,,is_a,gemini-3.1-pro-preview,"A large mucus secreting cholangiocyte is a specific subtype of cholangiocyte, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,vein endothelial cell,schlemms canal endothelial cell,,is_a,gemini-3.1-pro-preview,A Schlemm's canal endothelial cell is a specific subtype of vein endothelial cell that lines Schlemm's canal in the eye.
CellOntology_SUB,gt,seromucus secreting cell,mucus secreting cell,,is_a_inverted,gemini-3.1-pro-preview,"Because a seromucus secreting cell secretes both serous fluid and mucus, it is a specific type of mucus secreting cell, meaning the true subsumption relationship is the reverse of what the taxonomy states."
CellOntology_SUB,gt,endo-epithelial cell,epithelial cell of alimentary canal,,is_a,gemini-3.1-pro-preview,"An epithelial cell of the alimentary canal is a specific type of endo-epithelial cell, as the epithelial lining of the gut is primarily derived from the endoderm."
CellOntology_SUB,gt,endo-epithelial cell,respiratory tract epithelial cell,,is_a,gemini-3.1-pro-preview,"Every respiratory tract epithelial cell is derived from the endoderm, making it a specific type of endo-epithelial cell."
