dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalScience_SUB,science,applied sciences,20,1.0,2,3,0
SemEvalScience_SUB,science,agronomy,1,1.0,2,3,0
SemEvalScience_SUB,science,cybernetics,1,1.0,2,3,0
SemEvalScience_SUB,science,industrial chemistry,1,1.0,2,3,0
SemEvalScience_SUB,science,information science,1,1.0,2,2,0
SemEvalScience_SUB,science,mathematics,1,1.0,2,2,0
SemEvalScience_SUB,science,biometrics,1,1.0,2,3,0
SemEvalScience_SUB,science,metrology,2,1.0,2,3,0
SemEvalScience_SUB,science,life sciences,23,0.7727272727272727,2,3,0
SemEvalScience_SUB,science,biology,22,0.7619047619047619,2,4,0
SemEvalScience_SUB,science,botany,3,1.0,2,4,0
SemEvalScience_SUB,science,plant taxonomy,1,1.0,2,3,0
SemEvalScience_SUB,science,cytology,1,1.0,2,3,0
SemEvalScience_SUB,science,genetics,3,0.5,2,3,0
SemEvalScience_SUB,science,eugenics,1,1.0,2,2,0
SemEvalScience_SUB,science,histology,1,1.0,2,3,0
SemEvalScience_SUB,science,neurobiology,1,1.0,2,2,0
SemEvalScience_SUB,science,radiobiology,1,1.0,2,4,0
SemEvalScience_SUB,science,zoology,2,1.0,2,3,0
SemEvalScience_SUB,science,animal taxonomy,1,1.0,2,3,0
SemEvalScience_SUB,science,ecology,1,1.0,2,3,0
SemEvalScience_SUB,science,parasitology,1,1.0,2,2,0
SemEvalScience_SUB,science,pharmacology,1,1.0,2,3,0
SemEvalScience_SUB,science,physical sciences,24,0.9130434782608695,2,3,0
SemEvalScience_SUB,science,acoustics,1,1.0,2,2,0
SemEvalScience_SUB,science,aerodynamics,1,1.0,2,3,0
SemEvalScience_SUB,science,chemistry,8,0.7142857142857143,2,3,0
SemEvalScience_SUB,science,analytical chemistry,1,1.0,2,3,0
SemEvalScience_SUB,science,biochemistry,3,0.0,2,3,0
SemEvalScience_SUB,science,electrochemistry,1,1.0,2,2,0
SemEvalScience_SUB,science,photochemistry,1,1.0,2,2,0
SemEvalScience_SUB,science,electronics,1,1.0,2,2,0
SemEvalScience_SUB,science,laser physics,1,1.0,2,4,0
SemEvalScience_SUB,science,nuclear physics,1,1.0,2,2,0
SemEvalScience_SUB,science,optics,2,1.0,2,4,0
SemEvalScience_SUB,science,plasma physics,1,1.0,2,2,0
SemEvalScience_SUB,science,spectrometry,1,1.0,2,4,0
SemEvalScience_SUB,science,thermodynamics,1,1.0,2,3,0
SemEvalScience_SUB,science,space science,4,1.0,2,3,0
SemEvalScience_SUB,science,astronomy,2,1.0,2,3,0
