dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,sweet,tiramisu,3,1.0,1,2,1
SemEvalFood_SUB,sweet,candy,6,1.0,2,4,0
SemEvalFood_SUB,sweet,hard candy,3,1.0,2,4,0
SemEvalFood_SUB,sweet,sugar water,3,1.0,2,4,1
SemEvalFood_SUB,sweet,confiture,9,0.5,2,4,0
SemEvalFood_SUB,sweet,crabapple jelly,3,1.0,1,2,0
SemEvalFood_SUB,sweet,dessert,18,0.8,1,3,1
SemEvalFood_SUB,dessert,tiramisu,7,1.0,2,5,0
SemEvalFood_SUB,dessert,hard candy,7,1.0,2,5,1
SemEvalFood_SUB,dessert,candy,14,1.0,2,5,1
SemEvalFood_SUB,dessert,crabapple jelly,7,1.0,1,3,1
SemEvalFood_SUB,dessert,apple jelly,14,1.0,1,3,1
SemEvalFood_SUB,"chow (chow, course, dish)",tiramisu,5,1.0,2,6,0
SemEvalFood_SUB,"chow (chow, course, dish)",jelly,15,1.0,2,4,1
SemEvalFood_SUB,"chow (chow, course, dish)",appetizer,20,1.0,2,9,0
SemEvalFood_SUB,"chow (chow, course, dish)",meatball,10,1.0,2,5,0
SemEvalFood_SUB,"chow (chow, course, dish)",bannock,5,1.0,2,4,1
SemEvalFood_SUB,"chow (chow, course, dish)",entree,15,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, course, dish)",scampi,5,1.0,2,4,0
SemEvalFood_SUB,"chow (chow, course, dish)",hard sauce,5,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",antipasto,5,1.0,2,7,0
SemEvalFood_SUB,"chow (chow, course, dish)",succotash,5,1.0,2,6,0
SemEvalFood_SUB,"chow (chow, course, dish)",dainty,5,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",gazpacho,5,1.0,2,6,0
SemEvalFood_SUB,"chow (chow, course, dish)",flatbread,15,1.0,2,6,1
SemEvalFood_SUB,"chow (chow, course, dish)",dessert,30,0.6,2,10,0
SemEvalFood_SUB,"chow (chow, course, dish)",soup,20,0.6666666666666666,2,8,0
SemEvalFood_SUB,"chow (chow, course, dish)",green mayonnaise,5,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",curd,5,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",crabapple jelly,5,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",apple jelly,10,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",popcorn,5,1.0,2,4,1
SemEvalFood_SUB,"chow (chow, course, dish)",porcupine ball,5,1.0,2,4,0
SemEvalFood_SUB,"chow (chow, course, dish)",tamale pie,5,1.0,2,6,0
SemEvalFood_SUB,"chow (chow, course, dish)",celery stick,5,1.0,1,2,0
SemEvalFood_SUB,"chow (chow, course, dish)",moo goo gai pan,5,1.0,2,6,0
SemEvalFood_SUB,"chow (chow, course, dish)",baguet,5,1.0,1,1,1
SemEvalFood_SUB,"chow (chow, course, dish)",white bread,10,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",mayonnaise,10,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",bap,5,1.0,2,3,1
SemEvalFood_SUB,"chow (chow, course, dish)",flatbrod,5,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish)",bread,40,1.0,1,1,1
SemEvalFood_SUB,"chow (chow, course, dish)",french bread,10,1.0,1,1,1
SemEvalFood_SUB,"chow (chow, course, dish)",home fries,5,1.0,2,4,1
SemEvalFood_SUB,"chow (chow, course, dish)",mashed potato,5,1.0,2,3,1
SemEvalFood_SUB,"chow (chow, course, dish)",crudites,10,1.0,2,5,0
SemEvalFood_SUB,"chow (chow, course, dish)",broth,5,1.0,2,3,0
SemEvalFood_SUB,"chow (chow, course, dish)",blue cheese dressing,5,1.0,1,2,1
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",tiramisu,2,1.0,2,13,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",jelly,6,1.0,2,15,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",green mayonnaise,2,1.0,2,15,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",appetizer,8,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",meatball,4,1.0,2,15,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",bannock,2,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",entree,6,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",dressing,10,1.0,2,11,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",herb,10,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",curd,2,1.0,2,15,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",scampi,2,1.0,2,14,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",hard sauce,2,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",potato,6,1.0,2,17,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",buckwheat,2,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",fennel seed,2,1.0,2,12,0
SemEvalFood_SUB,"fare (fare, food, foodstuff, nutriment)",antipasto,2,1.0,2,12,0
