dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,socialmediaposting,ampstory,4,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,socialmediaposting,blogposting,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,article,socialmediaposting,9,0.0,1,1,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,6,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,article,12,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,4,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,4,0.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,game,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,review,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,4,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,medicalcode,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,medicalprocedure,4,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,legalservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,paymentservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,2,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,assignaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,4,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,conversation,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,action,createaction,4,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,findaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,tieaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,2,1.0,2,2,0
