dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",climate change policy,2,1.0,2,9,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",clean development mechanism,1,1.0,2,8,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",emission trading,2,1.0,2,12,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","emission allowance (emission allowance, tradeable emission permit)",1,1.0,2,14,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",deposit on a polluting product,1,1.0,2,8,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",environmental tax,2,1.0,2,9,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",economic instrument for the environment,6,1.0,2,9,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)","protection of animal life (protection of animal life, protection of animals)",1,1.0,2,12,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",hunting regulations,1,1.0,1,4,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",polluter pays principle,3,1.0,2,5,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",prevention of pollution,4,1.0,2,7,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",coastal protection,1,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",conservation of resources,5,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",countryside conservation,2,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",protection of plant life,1,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",pollution control measures,14,1.0,2,6,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",anti-pollution device,2,1.0,2,7,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",waste management,4,1.0,2,5,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",storage of waste,2,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",underground storage of waste,1,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",waste recycling,1,1.0,2,5,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",non-polluting vehicle,1,1.0,1,2,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection)",fire protection,1,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,2,1.0,1,2,0
SemEvalEnvironment_SUB,emission trading,clean development mechanism,4,1.0,1,2,1
SemEvalEnvironment_SUB,economic instrument for the environment,clean development mechanism,3,1.0,2,5,1
SemEvalEnvironment_SUB,economic instrument for the environment,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,2,11,0
SemEvalEnvironment_SUB,economic instrument for the environment,emission trading,6,1.0,2,6,1
SemEvalEnvironment_SUB,economic instrument for the environment,environmental tax,6,1.0,2,6,0
SemEvalEnvironment_SUB,economic instrument for the environment,deposit on a polluting product,3,1.0,2,5,0
SemEvalEnvironment_SUB,pollution control measures,"emission allowance (emission allowance, tradeable emission permit)",2,1.0,1,2,1
SemEvalEnvironment_SUB,pollution control measures,emission trading,4,0.0,1,3,1
SemEvalEnvironment_SUB,pollution control measures,economic instrument for the environment,12,0.8,1,3,1
SemEvalEnvironment_SUB,pollution control measures,deposit on a polluting product,2,1.0,1,2,1
SemEvalEnvironment_SUB,pollution control measures,environmental tax,4,1.0,1,3,1
SemEvalEnvironment_SUB,pollution control measures,anti-pollution device,4,1.0,2,7,0
SemEvalEnvironment_SUB,pollution control measures,prevention of pollution,8,1.0,2,5,0
SemEvalEnvironment_SUB,pollution control measures,waste management,8,1.0,2,5,1
SemEvalEnvironment_SUB,pollution control measures,storage of waste,4,1.0,1,3,1
SemEvalEnvironment_SUB,pollution control measures,underground storage of waste,2,1.0,1,3,1
SemEvalEnvironment_SUB,pollution control measures,waste recycling,2,1.0,2,5,1
SemEvalEnvironment_SUB,pollution control measures,non-polluting vehicle,2,1.0,1,2,0
SemEvalEnvironment_SUB,environmental tax,deposit on a polluting product,6,1.0,1,2,1
SemEvalEnvironment_SUB,management of resources,area management,3,0.0,1,1,1
SemEvalEnvironment_SUB,management of resources,conservation of resources,5,0.25,2,4,1
SemEvalEnvironment_SUB,management of resources,waste management,4,0.0,2,4,1
SemEvalEnvironment_SUB,management of resources,evaluation of resources,1,1.0,1,2,0
SemEvalEnvironment_SUB,management of resources,exploitation of resources,1,1.0,1,1,0
SemEvalEnvironment_SUB,management of resources,replacement of resources,1,1.0,1,1,0
SemEvalEnvironment_SUB,management of resources,hunting regulations,1,1.0,1,2,1
SemEvalEnvironment_SUB,area management,countryside conservation,4,0.0,1,3,1
SemEvalEnvironment_SUB,polluter pays principle,deposit on a polluting product,3,1.0,1,2,1
SemEvalEnvironment_SUB,polluter pays principle,environmental tax,6,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,countryside conservation,6,1.0,1,3,1
SemEvalEnvironment_SUB,conservation of resources,hunting regulations,3,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,protection of plant life,3,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,waste recycling,3,1.0,1,2,1
SemEvalEnvironment_SUB,waste management,waste recycling,4,1.0,2,4,0
SemEvalEnvironment_SUB,waste management,storage of waste,8,1.0,2,4,0
SemEvalEnvironment_SUB,waste management,underground storage of waste,4,1.0,2,3,0
SemEvalEnvironment_SUB,degradation of the environment,exhaustion of resources,3,1.0,1,1,1
SemEvalEnvironment_SUB,degradation of the environment,acid rain,3,1.0,2,4,0
SemEvalEnvironment_SUB,degradation of the environment,defoliation,3,1.0,2,3,0
SemEvalEnvironment_SUB,degradation of the environment,desertification,3,1.0,2,3,0
SemEvalEnvironment_SUB,degradation of the environment,climate change,6,1.0,1,2,0
SemEvalEnvironment_SUB,degradation of the environment,global warming,3,1.0,1,2,0
SemEvalEnvironment_SUB,degradation of the environment,pollutant,21,0.6666666666666666,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,atmospheric pollutant,9,1.0,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,combustion gases,3,1.0,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,stratospheric pollutant,3,1.0,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,pesticide residue,3,1.0,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,hazardous waste,9,0.5,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,radioactive waste,6,0.0,1,2,1
SemEvalEnvironment_SUB,degradation of the environment,waste,18,0.4,1,2,1
SemEvalEnvironment_SUB,quality of the environment,degradation of the environment,19,0.9444444444444444,1,1,1
SemEvalEnvironment_SUB,quality of the environment,acid rain,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,climate change,2,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,global warming,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,defoliation,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,desertification,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,bad weather,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,flood,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,pollutant,7,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,atmospheric pollutant,3,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,combustion gases,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,stratospheric pollutant,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,pesticide residue,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,waste,6,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,hazardous waste,3,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,non-recoverable waste,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,radioactive waste,2,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,radioactive effluent,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,sewage sludge,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,noise,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,noise level,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,dangerous substance,11,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,inflammable product,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,electromagnetic interference,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,nuisance,1,1.0,1,1,1
SemEvalEnvironment_SUB,quality of the environment,climate,3,0.0,1,1,1
SemEvalEnvironment_SUB,climate change,global warming,4,1.0,2,4,0
SemEvalEnvironment_SUB,pollutant,noise,5,1.0,1,1,1
SemEvalEnvironment_SUB,pollutant,atmospheric pollutant,15,1.0,2,4,0
SemEvalEnvironment_SUB,pollutant,stratospheric pollutant,5,1.0,2,3,0
SemEvalEnvironment_SUB,pollutant,pesticide residue,5,1.0,2,4,0
SemEvalEnvironment_SUB,pollutant,combustion gases,5,1.0,1,2,0
SemEvalEnvironment_SUB,pollutant,radioactive effluent,5,1.0,1,2,1
SemEvalEnvironment_SUB,atmospheric pollutant,stratospheric pollutant,6,1.0,2,3,0
SemEvalEnvironment_SUB,atmospheric pollutant,combustion gases,6,1.0,1,2,0
SemEvalEnvironment_SUB,waste,hazardous waste,12,1.0,2,4,0
SemEvalEnvironment_SUB,waste,non-recoverable waste,4,1.0,2,3,0
SemEvalEnvironment_SUB,waste,radioactive waste,8,1.0,2,4,0
SemEvalEnvironment_SUB,waste,radioactive effluent,4,1.0,2,4,0
SemEvalEnvironment_SUB,waste,sewage sludge,4,1.0,2,3,0
SemEvalEnvironment_SUB,hazardous waste,radioactive waste,12,1.0,1,2,1
SemEvalEnvironment_SUB,hazardous waste,radioactive effluent,6,1.0,1,2,1
SemEvalEnvironment_SUB,radioactive waste,radioactive effluent,7,1.0,1,2,0
SemEvalEnvironment_SUB,dangerous substance,hazardous waste,6,1.0,1,2,1
SemEvalEnvironment_SUB,dangerous substance,radioactive waste,4,1.0,1,2,1
SemEvalEnvironment_SUB,dangerous substance,radioactive effluent,2,1.0,2,4,1
