dataset,source,parent,child,is_fp,type,model,justification
WordNetFood_SUB,gt,rice,brown rice,,is_a,google/gemma-4-31b-it,"Brown rice is a specific variety or type of rice, meaning every instance of brown rice is necessarily an instance of rice."
WordNetFood_SUB,gt,legume,pea,,is_a,google/gemma-4-31b-it,"A pea is a specific type of legume, meaning every instance of a pea is necessarily an instance of a legume."
WordNetFood_SUB,gt,sweet roll,bear claw,,is_a,google/gemma-4-31b-it,"A bear claw is a specific type of sweet roll characterized by its shape and almond filling, meaning every bear claw is a sweet roll."
WordNetFood_SUB,gt,chowder,clam chowder,,is_a,google/gemma-4-31b-it,Every instance of clam chowder is by definition a type of chowder.
WordNetFood_SUB,gt,herb,marjoram,,is_a,google/gemma-4-31b-it,"Marjoram is a specific type of herb, meaning every instance of marjoram is necessarily an instance of an herb."
WordNetFood_SUB,gt,salad green,lettuce,,is_a,google/gemma-4-31b-it,Every instance of lettuce is a type of salad green.
WordNetFood_SUB,gt,beer,ale,,is_a,google/gemma-4-31b-it,Every instance of ale is by definition a type of beer.
WordNetFood_SUB,gt,sandwich,gyro,,is_a,google/gemma-4-31b-it,"A gyro is a specific type of sandwich consisting of meat wrapped in a pita, meaning every gyro is a sandwich."
WordNetFood_SUB,gt,greens,salad green,,is_a,google/gemma-4-31b-it,"A 'salad green' is a specific type of 'greens', meaning every instance of a salad green is necessarily an instance of greens."
WordNetFood_SUB,gt,ingredient,flavorer,,is_a,google/gemma-4-31b-it,"A flavorer is a specific type of ingredient used to impart taste, meaning every flavorer is necessarily an ingredient."
WordNetFood_SUB,gt,meat,cut,,part_of,google/gemma-4-31b-it,"A 'cut' of meat is a specific portion or piece taken from a larger carcass of meat, rather than a type of meat itself."
WordNetFood_SUB,gt,meat,jerky,,is_a,google/gemma-4-31b-it,"Jerky is a type of meat that has been processed and dried, meaning every instance of jerky is also an instance of meat."
WordNetFood_SUB,gt,meat,pork,,is_a,google/gemma-4-31b-it,"Pork is a specific type of meat, meaning every instance of pork is necessarily an instance of meat."
WordNetFood_SUB,gt,water-soluble vitamin,b-complex vitamin,,is_a,google/gemma-4-31b-it,"The B-complex vitamin is a group of vitamins that are all characterized by being water-soluble, meaning every B-complex vitamin is a type of water-soluble vitamin."
WordNetFood_SUB,gt,produce,edible fruit,,is_a,google/gemma-4-31b-it,Every edible fruit is a type of produce.
