dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,article,techarticle,4,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,movieseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,article,3,0.5,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,periodical,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,review,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,radioseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,creativeworkseries,5,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,game,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,techarticle,2,0.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobjectsnapshot,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,comicseries,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,series,6,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,wearablemeasurementtypeenumeration,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,medicalcode,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,paymentservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,taxiservice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,service,medicalprocedure,4,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,radiobroadcastservice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,service,entertainmentbusiness,2,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,legalservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,therapeuticprocedure,6,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,action,tieaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,createaction,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,findaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,eataction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,assignaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,cookaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,conversation,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,clip,movieclip,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,measurementtypeenumeration,wearablemeasurementtypeenumeration,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,movieseries,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,periodical,4,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativeworkseries,radioseries,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,comicseries,4,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,imageobject,imageobjectsnapshot,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,techarticle,howtostep,3,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,series,movieseries,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,series,periodical,3,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,series,radioseries,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,series,creativeworkseries,15,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,series,comicseries,3,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,medicalprocedure,surgicalprocedure,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,therapeuticprocedure,12,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,medicaltherapy,4,1.0,1,1,0
