dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,6,1.0,2,2,0
WordNetFood_SUB,dish,lobster tart,3,1.0,2,2,1
WordNetFood_SUB,dish,clam chowder,3,1.0,2,2,0
WordNetFood_SUB,dish,sandwich,6,1.0,2,2,0
WordNetFood_SUB,dish,chowder,6,1.0,1,1,0
WordNetFood_SUB,dish,scampi,3,1.0,1,1,0
WordNetFood_SUB,dish,gyro,3,1.0,2,2,0
WordNetFood_SUB,dish,corn pudding,3,1.0,2,2,0
WordNetFood_SUB,dish,soup,9,1.0,2,2,0
WordNetFood_SUB,dish,chicken paprika,3,1.0,2,2,0
WordNetFood_SUB,dish,pie,6,1.0,1,1,1
WordNetFood_SUB,dish,squash pie,3,1.0,1,1,1
WordNetFood_SUB,dish,soul food,3,1.0,1,1,1
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",lobster tart,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",beef jerky,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",sweet roll,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",herb,2,1.0,2,4,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",salad green,3,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",sandwich,2,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",gingersnap,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",applesauce cake,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",concoction,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pea flour,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",fare,2,1.0,2,4,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",bread,3,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",sweet orange,2,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",chocolate candy,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",navel orange,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pastry,5,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cochon de lait,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",snack food,6,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",gyro,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",culture medium,1,1.0,2,4,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cos,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",corn pudding,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",soup,3,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cookie,2,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",freshwater fish,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",egg,1,1.0,2,4,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",squash pie,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",lettuce,2,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",chocolate,2,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",chicken paprika,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",soul food,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cake,2,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",diet,1,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",lobster tail,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",rice,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",legume,5,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",chowder,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",clam chowder,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",beer,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",scampi,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",greens,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",field pea,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",meat,7,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",produce,22,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pork,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",vegetable,12,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",dairy product,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",orange,3,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cheese,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",tart,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",sauce,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",boysenberry,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",grain,3,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",jerky,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",berry,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",raspberry,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pale ale,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",meal,16,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",flavorer,1,1.0,2,3,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",shellfish,6,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",condiment,3,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",bear claw,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",koumiss,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",edible fruit,9,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",dish,13,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pie,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",octopus,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cut of beef,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",anchovy sauce,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",course,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",starches,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",alcohol,7,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",spruce beer,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pea,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",citrus,4,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",camembert,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",dessert,15,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",marrowfat pea,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",pudding,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",ale,2,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",brown rice,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",brew,5,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",bun,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",beverage,8,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",elderberry,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",baked goods,14,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",seafood,8,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",dough,8,1.0,2,5,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",marjoram,1,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",lobster,3,1.0,1,2,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",water-soluble vitamin,3,1.0,1,1,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",choline,1,1.0,1,1,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",vitamin,4,1.0,1,1,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",cut,2,1.0,1,1,0
WordNetFood_SUB,"food (food, foodstuff, ingredient, nutriment)",b-complex vitamin,1,1.0,1,1,0
