dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,7,1.0,2,2,0
WordNetFood_SUB,pastry,lobster tart,6,1.0,2,2,0
WordNetFood_SUB,pastry,tart,12,1.0,2,2,0
WordNetFood_SUB,pastry,pie,12,1.0,2,2,0
WordNetFood_SUB,pastry,bear claw,6,1.0,1,1,1
WordNetFood_SUB,pastry,squash pie,6,1.0,2,2,0
WordNetFood_SUB,baked goods,lobster tart,3,1.0,2,2,0
WordNetFood_SUB,baked goods,sweet roll,6,1.0,2,2,0
WordNetFood_SUB,baked goods,tart,6,1.0,2,2,0
WordNetFood_SUB,baked goods,gingersnap,3,1.0,2,2,0
WordNetFood_SUB,baked goods,applesauce cake,3,1.0,2,2,0
WordNetFood_SUB,baked goods,bread,12,1.0,2,2,0
WordNetFood_SUB,baked goods,bear claw,3,1.0,2,2,0
WordNetFood_SUB,baked goods,pie,6,1.0,2,2,0
WordNetFood_SUB,baked goods,pastry,18,1.0,2,2,0
WordNetFood_SUB,baked goods,cookie,6,1.0,2,2,0
WordNetFood_SUB,baked goods,squash pie,3,1.0,2,2,0
WordNetFood_SUB,baked goods,bun,9,1.0,2,2,0
WordNetFood_SUB,baked goods,cake,12,1.0,2,2,0
WordNetFood_SUB,dish,lobster tart,2,1.0,1,1,1
WordNetFood_SUB,dish,chowder,4,1.0,2,2,0
WordNetFood_SUB,dish,clam chowder,2,1.0,2,2,0
WordNetFood_SUB,dish,scampi,2,1.0,2,2,0
WordNetFood_SUB,dish,sandwich,4,1.0,1,1,0
WordNetFood_SUB,dish,cochon de lait,2,1.0,1,1,1
WordNetFood_SUB,dish,corn pudding,2,1.0,2,2,0
WordNetFood_SUB,dish,soup,6,1.0,2,2,0
WordNetFood_SUB,dish,dessert,6,1.0,2,2,1
WordNetFood_SUB,dish,squash pie,2,1.0,2,2,1
WordNetFood_SUB,dish,pudding,4,1.0,2,2,0
