dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,sweet,tiramisu,2,1.0,1,1,1
SemEvalFood_SUB,sweet,candy,4,1.0,2,7,0
SemEvalFood_SUB,sweet,hard candy,2,1.0,2,6,0
SemEvalFood_SUB,sweet,confiture,6,1.0,2,6,0
SemEvalFood_SUB,sweet,sugar water,2,1.0,2,5,1
SemEvalFood_SUB,sweet,hard sauce,2,1.0,1,1,1
SemEvalFood_SUB,sweet,crabapple jelly,2,1.0,1,2,0
SemEvalFood_SUB,sweet,apple jelly,4,1.0,1,3,0
SemEvalFood_SUB,sweet,dessert,12,1.0,1,2,1
SemEvalFood_SUB,dessert,tiramisu,4,1.0,2,3,0
SemEvalFood_SUB,dessert,crabapple jelly,4,1.0,1,1,1
SemEvalFood_SUB,dessert,apple jelly,8,1.0,1,3,1
SemEvalFood_SUB,dessert,candy,8,0.0,1,3,1
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",tiramisu,1,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",appetizer,4,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",meatball,2,1.0,2,24,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",bannock,1,1.0,2,24,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",entree,3,1.0,2,21,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",scampi,1,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",antipasto,1,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",succotash,1,1.0,2,23,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",crabapple jelly,1,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",dainty,1,1.0,2,12,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",gazpacho,1,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",flatbread,3,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",porcupine ball,1,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",soup,3,1.0,2,25,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",home fries,1,1.0,2,23,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",mashed potato,1,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",tamale pie,1,1.0,2,24,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",moo goo gai pan,1,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",crudites,2,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",popcorn,1,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",apple jelly,2,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",course,21,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",dessert,6,1.0,2,21,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",broth,1,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",flatbrod,2,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",jelly,3,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",green mayonnaise,1,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",dressing,5,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",herb,5,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",curd,1,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",sweet,10,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",hard sauce,1,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",potato,1,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",buckwheat,1,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",fennel seed,1,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",ingredient,41,1.0,1,5,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",dairy product,4,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",corn,2,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",sauce,9,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",nut butter,1,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",spread,10,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",grain,5,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",ravigote,1,1.0,2,12,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",taco sauce,1,1.0,2,12,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, nutriment)",groats,1,1.0,2,15,0
