dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"dessert (dessert, sweet)",dainty,9,0.0,1,0,1
SemEvalFood_SUB,"dessert (dessert, sweet)",tiramisu,3,1.0,2,4,0
SemEvalFood_SUB,dainty,candy,8,0.0,1,1,0
SemEvalFood_SUB,spread,jelly,15,0.0,1,1,1
SemEvalFood_SUB,spread,nut butter,3,1.0,1,1,0
SemEvalFood_SUB,jelly,apple jelly,8,0.0,2,2,0
SemEvalFood_SUB,jelly,confiture,8,0.0,1,0,1
SemEvalFood_SUB,apple jelly,crabapple jelly,5,1.0,2,2,0
SemEvalFood_SUB,"condiment (condiment, flavorer)",herb,10,0.0,1,1,0
SemEvalFood_SUB,"condiment (condiment, flavorer)",sauce,22,0.0,2,3,0
SemEvalFood_SUB,"condiment (condiment, flavorer)",spread,14,0.0,2,2,0
SemEvalFood_SUB,fare,course,20,0.0,1,0,1
SemEvalFood_SUB,fare,dairy product,2,0.0,1,0,1
SemEvalFood_SUB,fare,diet,2,0.0,1,1,0
SemEvalFood_SUB,fare,fodder,2,0.0,1,0,1
SemEvalFood_SUB,fare,liquor,5,0.0,1,1,1
SemEvalFood_SUB,fare,starches,17,0.0,1,0,1
SemEvalFood_SUB,fare,succotash,1,1.0,1,1,1
SemEvalFood_SUB,fare,tea,5,0.0,1,0,1
SemEvalFood_SUB,fare,vitamin,6,0.0,1,0,1
SemEvalFood_SUB,fare,water,4,0.0,1,0,1
SemEvalFood_SUB,fare,"condiment (condiment, flavorer)",24,0.0,1,0,1
SemEvalFood_SUB,fare,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",1,1.0,1,0,0
SemEvalFood_SUB,confiture,conserve,5,1.0,1,1,0
SemEvalFood_SUB,mayonnaise,green mayonnaise,5,1.0,2,2,0
SemEvalFood_SUB,sauce,dressing,15,0.0,1,1,0
SemEvalFood_SUB,sauce,hard sauce,3,1.0,2,2,0
SemEvalFood_SUB,sauce,relish,6,0.0,1,1,1
SemEvalFood_SUB,sauce,steak sauce,3,1.0,2,2,1
SemEvalFood_SUB,sauce,taco sauce,3,1.0,2,2,1
SemEvalFood_SUB,appetizer,antipasto,18,0.0,2,2,0
SemEvalFood_SUB,antipasto,crudites,8,0.0,1,1,1
SemEvalFood_SUB,antipasto,meatball,8,0.0,1,1,1
SemEvalFood_SUB,antipasto,scampi,4,1.0,1,1,1
SemEvalFood_SUB,crudites,celery stick,5,1.0,2,2,0
SemEvalFood_SUB,course,appetizer,14,0.0,1,1,0
SemEvalFood_SUB,course,"dessert (dessert, sweet)",10,0.0,1,1,0
SemEvalFood_SUB,course,entree,6,0.0,1,1,0
SemEvalFood_SUB,course,soup,8,0.0,1,0,1
SemEvalFood_SUB,meatball,porcupine ball,5,1.0,1,0,0
SemEvalFood_SUB,flatbread,bannock,4,1.0,2,2,0
SemEvalFood_SUB,flatbread,flatbrod,4,1.0,1,1,0
SemEvalFood_SUB,bread,bap,3,1.0,1,1,0
SemEvalFood_SUB,bread,flatbread,9,0.0,2,2,0
SemEvalFood_SUB,bread,french bread,6,0.0,2,2,0
SemEvalFood_SUB,bread,white bread,3,1.0,2,2,0
SemEvalFood_SUB,entree,moo goo gai pan,3,1.0,2,2,1
SemEvalFood_SUB,entree,tamale pie,3,1.0,2,2,1
SemEvalFood_SUB,dressing,blue cheese dressing,4,1.0,2,2,0
SemEvalFood_SUB,dressing,mayonnaise,8,0.0,1,1,0
SemEvalFood_SUB,dressing,ravigote,4,1.0,1,1,1
SemEvalFood_SUB,herb,alfalfa,3,1.0,1,1,1
SemEvalFood_SUB,herb,caraway seed,3,1.0,2,2,1
SemEvalFood_SUB,herb,fennel seed,3,1.0,2,2,1
SemEvalFood_SUB,herb,garlic,3,1.0,2,2,1
SemEvalFood_SUB,cocktail,bullshot,3,1.0,2,2,0
SemEvalFood_SUB,cocktail,gin and it,3,1.0,1,1,0
SemEvalFood_SUB,liquor,cocktail,6,0.0,2,2,1
SemEvalFood_SUB,liquor,gin,2,1.0,2,2,0
SemEvalFood_SUB,dairy product,curd,2,1.0,2,2,0
SemEvalFood_SUB,candy,hard candy,5,1.0,2,2,0
SemEvalFood_SUB,fodder,alfalfa,2,1.0,1,1,0
SemEvalFood_SUB,potato,home fries,3,1.0,1,1,0
SemEvalFood_SUB,potato,mashed potato,3,1.0,1,1,0
SemEvalFood_SUB,grain,buckwheat,3,1.0,2,2,0
SemEvalFood_SUB,grain,corn,6,0.0,2,2,0
SemEvalFood_SUB,grain,groats,3,1.0,2,2,0
SemEvalFood_SUB,corn,popcorn,4,1.0,2,2,0
SemEvalFood_SUB,vitamin,water soluble vitamin,10,0.0,2,2,0
SemEvalFood_SUB,water soluble vitamin,b complex vitamin,12,0.0,2,2,0
SemEvalFood_SUB,b complex vitamin,niacin,4,1.0,2,2,0
SemEvalFood_SUB,b complex vitamin,pantothenic acid,4,1.0,2,2,0
SemEvalFood_SUB,b complex vitamin,vitamin b2,4,1.0,2,2,0
SemEvalFood_SUB,tea,"herb tea (herb tea, tisane)",4,0.0,2,3,0
SemEvalFood_SUB,tea,oolong,2,1.0,2,2,0
SemEvalFood_SUB,tea,sun tea,2,1.0,2,2,0
SemEvalFood_SUB,starches,bread,16,0.0,1,0,0
SemEvalFood_SUB,starches,grain,10,0.0,1,1,1
SemEvalFood_SUB,starches,potato,6,0.0,1,0,0
SemEvalFood_SUB,diet,diabetic diet,2,1.0,2,2,0
SemEvalFood_SUB,"herb tea (herb tea, tisane)",camomile tea,3,1.0,2,4,0
SemEvalFood_SUB,french bread,baguet,4,1.0,2,2,0
SemEvalFood_SUB,soup,broth,3,1.0,2,2,0
SemEvalFood_SUB,soup,bullshot,3,1.0,1,1,1
SemEvalFood_SUB,soup,gazpacho,3,1.0,2,2,0
SemEvalFood_SUB,relish,pickle relish,4,1.0,2,2,0
SemEvalFood_SUB,water,drinking water,4,0.0,2,2,0
SemEvalFood_SUB,water,sugar water,2,1.0,2,2,0
SemEvalFood_SUB,drinking water,soda water,3,1.0,1,1,0
