dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,article,blogposting,3,1.0,2,6,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,3,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,article,socialmediaposting,9,0.5,1,3,0
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,4,1.0,2,5,1
LLMs4OL_SchemaOrg_SUB,creativework,movieseries,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,article,10,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,6,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,creativework,periodical,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,review,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,techarticle,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,4,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,creativework,conversation,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,creativework,comicseries,2,1.0,2,6,1
LLMs4OL_SchemaOrg_SUB,creativework,series,12,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,radioseries,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,creativeworkseries,10,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,howtostep,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,itemlist,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,listitem,4,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,imageobjectsnapshot,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,recommendation,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,observation,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,game,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,collection,4,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,socialmediaposting,blogposting,4,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,socialmediaposting,ampstory,4,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,time,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,adultorientedenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,clip,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,intangible,creativework,28,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,takeaction,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,movieseries,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,enumeration,12,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,invoice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,socialmediaposting,3,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,intangible,offer,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,therapeuticprocedure,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,review,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,consumeaction,2,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,speakablespecification,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,observation,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,radioseries,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,governmentbenefitstype,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,howtostep,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,entrypoint,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,peopleaudience,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,action,15,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,medicalintangible,2,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,blogposting,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,sizegroupenumeration,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,paymentservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,bookmarkaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,authorizeaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,measurementtypeenumeration,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,article,5,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,periodical,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,tieaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,allocateaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,achieveaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,movieclip,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,taxiservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,creativeworkseries,5,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,ticket,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,shortstory,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,sheetmusic,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,certificationstatusenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,radiobroadcastservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,audience,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,game,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,recommendation,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,organizeaction,2,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,createaction,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,intangible,legalservice,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,imageobject,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,listitem,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,findaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,itemlistordertype,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,service,7,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,measurementmethodenum,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,sizesystemenumeration,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,paymentmethod,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,techarticle,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,itemlist,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,wearablemeasurementtypeenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,collection,2,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,eataction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,datatype,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,emergencyservice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,physicalactivitycategory,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,transferaction,4,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,assignaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,sculpture,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,imageobjectsnapshot,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,conversation,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,ampstory,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,comicseries,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,series,6,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,cookaction,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,broadcastservice,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,medicalentity,9,0.5,1,2,1
LLMs4OL_SchemaOrg_SUB,intangible,medicalcode,1,1.0,1,3,1
LLMs4OL_SchemaOrg_SUB,intangible,constraintnode,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,seat,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,datatype,time,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,4,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,2,4,1
