dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental policy,climate change policy,2,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,clean development mechanism,1,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,emission trading,3,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,hunting regulations,1,1.0,2,5,1
SemEvalEnvironment_SUB,environmental policy,environmental tax,2,1.0,2,5,0
SemEvalEnvironment_SUB,environmental policy,deposit on a polluting product,1,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,2,1.0,2,3,1
SemEvalEnvironment_SUB,environmental policy,economic instrument for the environment,6,1.0,1,2,0
SemEvalEnvironment_SUB,environmental policy,"emission allowance (emission allowance, tradeable emission permit)",1,1.0,1,2,0
SemEvalEnvironment_SUB,environmental policy,environmental protection,23,0.5,1,1,1
SemEvalEnvironment_SUB,environmental policy,conservation of resources,5,0.5,1,2,1
SemEvalEnvironment_SUB,environmental policy,protection of plant life,1,1.0,1,2,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,3,1.0,1,2,0
SemEvalEnvironment_SUB,environmental protection,climate change policy,4,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,clean development mechanism,2,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,emission trading,6,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,deposit on a polluting product,2,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,environmental tax,4,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,coastal protection,2,1.0,2,4,0
SemEvalEnvironment_SUB,environmental protection,"protection of animal life (protection of animal life, protection of animals)",4,1.0,2,6,0
SemEvalEnvironment_SUB,environmental protection,protection of plant life,2,1.0,2,3,0
SemEvalEnvironment_SUB,environmental protection,pollution control measures,26,0.8333333333333334,2,3,1
SemEvalEnvironment_SUB,environmental protection,prevention of pollution,10,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,anti-pollution device,4,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,polluter pays principle,4,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,economic instrument for the environment,12,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,"emission allowance (emission allowance, tradeable emission permit)",2,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,conservation of resources,10,1.0,2,3,0
SemEvalEnvironment_SUB,environmental protection,non-polluting vehicle,2,1.0,1,1,1
SemEvalEnvironment_SUB,environmental protection,waste management,10,0.5,2,4,1
SemEvalEnvironment_SUB,environmental protection,waste recycling,2,1.0,2,3,1
SemEvalEnvironment_SUB,environmental protection,countryside conservation,4,1.0,1,2,0
SemEvalEnvironment_SUB,environmental protection,hunting regulations,2,1.0,1,3,0
SemEvalEnvironment_SUB,emission trading,clean development mechanism,7,1.0,1,2,1
SemEvalEnvironment_SUB,emission trading,"emission allowance (emission allowance, tradeable emission permit)",7,1.0,1,4,1
SemEvalEnvironment_SUB,economic instrument for the environment,clean development mechanism,4,1.0,2,4,1
