dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,environmental policy,climate change policy,4,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,clean development mechanism,1,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,"emission allowance (emission allowance, tradeable emission permit)",1,1.0,1,4,0
SemEvalEnvironment_SUB,environmental policy,emission trading,2,1.0,2,5,1
SemEvalEnvironment_SUB,environmental policy,area management,4,1.0,1,2,0
SemEvalEnvironment_SUB,environmental policy,economic instrument for the environment,6,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,environmental tax,2,1.0,2,4,0
SemEvalEnvironment_SUB,environmental policy,coastal protection,1,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,conservation of resources,4,0.6666666666666666,2,5,1
SemEvalEnvironment_SUB,environmental policy,countryside conservation,2,1.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,"protection of animal life (protection of animal life, protection of animals)",1,1.0,2,6,1
SemEvalEnvironment_SUB,environmental policy,protection of plant life,1,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,hunting regulations,1,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,pollution control measures,13,0.5833333333333334,1,2,1
SemEvalEnvironment_SUB,environmental policy,polluter pays principle,5,1.0,2,4,1
SemEvalEnvironment_SUB,environmental policy,prevention of pollution,6,0.4,2,4,1
SemEvalEnvironment_SUB,environmental policy,waste management,4,0.0,1,2,1
SemEvalEnvironment_SUB,environmental policy,deposit on a polluting product,1,1.0,1,3,0
SemEvalEnvironment_SUB,environmental policy,risk prevention,18,0.6470588235294118,1,3,0
SemEvalEnvironment_SUB,environmental policy,environmental protection,24,0.7391304347826086,1,1,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,3,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,emission trading,6,1.0,1,3,0
SemEvalEnvironment_SUB,climate change policy,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,1,2,0
SemEvalEnvironment_SUB,environmental protection,climate change policy,8,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,clean development mechanism,2,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,"emission allowance (emission allowance, tradeable emission permit)",2,1.0,2,8,1
SemEvalEnvironment_SUB,environmental protection,deposit on a polluting product,2,1.0,2,5,1
SemEvalEnvironment_SUB,environmental protection,environmental tax,4,1.0,2,4,1
SemEvalEnvironment_SUB,environmental protection,risk prevention,36,1.0,1,3,1
SemEvalEnvironment_SUB,environmental protection,emission trading,4,1.0,1,2,1
SemEvalEnvironment_SUB,environmental protection,coastal protection,2,1.0,2,4,0
SemEvalEnvironment_SUB,environmental protection,conservation of resources,8,1.0,2,5,0
SemEvalEnvironment_SUB,environmental protection,countryside conservation,4,1.0,2,5,0
SemEvalEnvironment_SUB,environmental protection,"protection of animal life (protection of animal life, protection of animals)",2,1.0,2,8,0
