dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",climate change policy,8,1.0,2,7,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",clean development mechanism,2,1.0,2,9,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)","emission allowance (emission allowance, tradeable emission permit)",2,1.0,2,20,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",emission trading,6,1.0,2,13,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",area management,8,1.0,1,2,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",economic instrument for the environment,12,1.0,2,12,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",deposit on a polluting product,2,1.0,2,13,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",environmental tax,4,1.0,2,11,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",pollution control measures,26,1.0,2,13,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",prevention of pollution,28,1.0,2,13,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",polluter pays principle,28,1.0,2,8,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",coastal protection,2,1.0,2,9,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",conservation of resources,6,1.0,2,10,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",management of resources,26,0.9166666666666666,1,4,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",risk prevention,34,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",countryside conservation,2,1.0,2,7,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",protection of animal life,4,1.0,2,6,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",hunting regulations,2,1.0,1,3,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",environmental indicator,6,0.0,1,5,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",evaluation of resources,2,1.0,2,6,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",quality of the environment,22,0.1,1,2,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",anti-pollution device,4,1.0,2,7,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",waste management,8,1.0,2,8,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",waste recycling,2,1.0,2,8,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",exploitation of resources,2,1.0,1,2,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",fire protection,2,1.0,1,2,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",protection of animals,6,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",protection of plant life,2,1.0,2,4,0
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",non-polluting vehicle,2,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",storage of waste,4,1.0,1,3,1
SemEvalEnvironment_SUB,"environmental economics (environmental economics, environmental policy, environmental protection)",underground storage of waste,2,1.0,1,3,1
SemEvalEnvironment_SUB,climate change policy,clean development mechanism,3,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,emission trading,9,1.0,1,2,0
SemEvalEnvironment_SUB,climate change policy,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,1,2,0
SemEvalEnvironment_SUB,emission trading,clean development mechanism,9,1.0,1,2,1
SemEvalEnvironment_SUB,emission trading,"emission allowance (emission allowance, tradeable emission permit)",9,1.0,2,8,1
SemEvalEnvironment_SUB,economic instrument for the environment,clean development mechanism,7,1.0,2,4,1
SemEvalEnvironment_SUB,economic instrument for the environment,"emission allowance (emission allowance, tradeable emission permit)",7,1.0,2,8,0
SemEvalEnvironment_SUB,economic instrument for the environment,emission trading,21,1.0,2,4,1
SemEvalEnvironment_SUB,economic instrument for the environment,environmental tax,14,1.0,2,4,0
SemEvalEnvironment_SUB,economic instrument for the environment,deposit on a polluting product,7,1.0,2,4,0
SemEvalEnvironment_SUB,pollution control measures,emission trading,18,0.5,2,5,1
SemEvalEnvironment_SUB,pollution control measures,economic instrument for the environment,36,0.8,2,4,1
SemEvalEnvironment_SUB,pollution control measures,deposit on a polluting product,6,1.0,2,5,1
SemEvalEnvironment_SUB,pollution control measures,environmental tax,12,1.0,2,5,1
SemEvalEnvironment_SUB,pollution control measures,"emission allowance (emission allowance, tradeable emission permit)",6,1.0,2,8,1
SemEvalEnvironment_SUB,pollution control measures,anti-pollution device,12,1.0,2,5,0
SemEvalEnvironment_SUB,pollution control measures,non-polluting vehicle,6,1.0,1,3,0
SemEvalEnvironment_SUB,pollution control measures,waste management,24,1.0,2,6,1
SemEvalEnvironment_SUB,pollution control measures,storage of waste,12,1.0,2,5,1
SemEvalEnvironment_SUB,pollution control measures,underground storage of waste,6,1.0,1,3,1
SemEvalEnvironment_SUB,pollution control measures,waste recycling,6,1.0,2,6,1
SemEvalEnvironment_SUB,area management,coastal protection,4,1.0,1,2,1
SemEvalEnvironment_SUB,area management,countryside conservation,4,1.0,2,4,1
SemEvalEnvironment_SUB,area management,fire protection,4,1.0,1,2,1
SemEvalEnvironment_SUB,environmental tax,deposit on a polluting product,8,1.0,2,3,1
SemEvalEnvironment_SUB,prevention of pollution,"emission allowance (emission allowance, tradeable emission permit)",4,1.0,2,7,1
SemEvalEnvironment_SUB,prevention of pollution,pollution control measures,52,0.8333333333333334,2,6,1
SemEvalEnvironment_SUB,prevention of pollution,anti-pollution device,8,1.0,2,5,0
SemEvalEnvironment_SUB,prevention of pollution,non-polluting vehicle,4,1.0,1,3,1
SemEvalEnvironment_SUB,prevention of pollution,waste management,16,1.0,1,3,1
SemEvalEnvironment_SUB,prevention of pollution,storage of waste,8,1.0,1,3,1
SemEvalEnvironment_SUB,prevention of pollution,underground storage of waste,4,1.0,1,3,1
SemEvalEnvironment_SUB,prevention of pollution,waste recycling,4,1.0,2,6,1
SemEvalEnvironment_SUB,prevention of pollution,emission trading,12,1.0,1,3,1
SemEvalEnvironment_SUB,prevention of pollution,environmental tax,8,0.0,1,2,1
SemEvalEnvironment_SUB,prevention of pollution,clean development mechanism,4,1.0,1,2,1
SemEvalEnvironment_SUB,polluter pays principle,deposit on a polluting product,3,1.0,2,4,1
SemEvalEnvironment_SUB,polluter pays principle,environmental tax,6,1.0,2,4,1
SemEvalEnvironment_SUB,polluter pays principle,pollution control measures,39,0.4166666666666667,1,2,1
SemEvalEnvironment_SUB,polluter pays principle,emission trading,9,1.0,1,2,1
SemEvalEnvironment_SUB,polluter pays principle,"emission allowance (emission allowance, tradeable emission permit)",3,1.0,1,4,1
SemEvalEnvironment_SUB,polluter pays principle,clean development mechanism,3,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,countryside conservation,4,1.0,1,2,1
SemEvalEnvironment_SUB,conservation of resources,waste recycling,4,1.0,1,3,1
SemEvalEnvironment_SUB,management of resources,area management,12,0.0,1,3,1
SemEvalEnvironment_SUB,management of resources,evaluation of resources,3,1.0,2,4,0
SemEvalEnvironment_SUB,management of resources,exploitation of resources,3,1.0,2,4,0
SemEvalEnvironment_SUB,management of resources,replacement of resources,3,1.0,2,3,0
SemEvalEnvironment_SUB,management of resources,conservation of resources,9,0.5,2,4,1
SemEvalEnvironment_SUB,management of resources,waste management,12,0.3333333333333333,2,5,1
SemEvalEnvironment_SUB,management of resources,waste recycling,3,1.0,1,2,1
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)","environmental economics (environmental economics, environmental policy, environmental protection)",42,0.14634146341463414,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",exhaustion of resources,1,1.0,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",quality of the environment,11,0.4,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",countryside conservation,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",climate,9,0.875,2,12,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",climatic zone,4,1.0,2,8,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",tropical zone,2,1.0,2,8,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",aquatic environment,13,1.0,2,14,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",marine environment,9,1.0,2,13,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",sea-bed,2,1.0,2,9,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",drinking water,1,1.0,2,12,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",saltwater,1,1.0,2,10,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",stagnant water,1,1.0,2,10,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",surface water,3,1.0,2,10,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",atmosphere,10,0.8888888888888888,2,12,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",marine ecosystem,7,1.0,2,17,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",wildlife,13,0.9166666666666666,2,8,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",marine mammal,4,1.0,2,10,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",plant life,2,0.0,2,8,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",climate change,2,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",global warming,1,1.0,1,3,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",desertification,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",disaster area,1,1.0,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",bad weather,2,0.0,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",sensitive area,2,1.0,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",equatorial zone,1,1.0,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",frigid zone,1,1.0,1,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",water,6,0.8,1,6,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",continental shelf,1,1.0,2,6,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",animal life,14,0.9230769230769231,2,4,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",bird,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",reptile,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",wild mammal,8,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",lynx,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",dolphin,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",seal,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",whale,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",marsupial,1,1.0,1,2,0
SemEvalEnvironment_SUB,"biosphere (biosphere, ecosystem, environment, physical environment)",wolf,1,1.0,1,2,0
SemEvalEnvironment_SUB,environmental indicator,biodegradability,4,1.0,1,2,1
SemEvalEnvironment_SUB,environmental indicator,noise level,4,1.0,1,3,1
SemEvalEnvironment_SUB,quality of the environment,environmental indicator,9,0.0,1,2,1
SemEvalEnvironment_SUB,quality of the environment,degradation of the environment,21,0.0,1,2,1
SemEvalEnvironment_SUB,anti-pollution device,non-polluting vehicle,7,1.0,1,2,1
SemEvalEnvironment_SUB,waste management,storage of waste,16,1.0,2,5,0
SemEvalEnvironment_SUB,waste management,underground storage of waste,8,1.0,2,6,0
SemEvalEnvironment_SUB,waste management,waste recycling,8,1.0,2,6,0
SemEvalEnvironment_SUB,degradation of the environment,exhaustion of resources,4,1.0,2,4,1
SemEvalEnvironment_SUB,degradation of the environment,acid rain,4,1.0,1,2,0
SemEvalEnvironment_SUB,degradation of the environment,climate change,8,1.0,1,2,0
SemEvalEnvironment_SUB,degradation of the environment,global warming,4,1.0,2,4,0
SemEvalEnvironment_SUB,degradation of the environment,defoliation,4,1.0,2,3,0
SemEvalEnvironment_SUB,degradation of the environment,desertification,4,1.0,2,4,0
SemEvalEnvironment_SUB,risk prevention,prevention of pollution,42,0.15384615384615385,2,5,1
SemEvalEnvironment_SUB,risk prevention,pollution control measures,39,0.08333333333333333,2,4,1
SemEvalEnvironment_SUB,risk prevention,anti-pollution device,6,0.0,1,2,1
SemEvalEnvironment_SUB,risk prevention,coastal protection,3,1.0,1,3,1
SemEvalEnvironment_SUB,risk prevention,fire protection,3,1.0,1,1,1
SemEvalEnvironment_SUB,protection of animal life,hunting regulations,4,1.0,1,2,0
SemEvalEnvironment_SUB,protection of animals,protection of animal life,6,1.0,1,2,1
SemEvalEnvironment_SUB,protection of animals,hunting regulations,3,1.0,1,2,1
SemEvalEnvironment_SUB,storage of waste,underground storage of waste,9,1.0,2,5,0
SemEvalEnvironment_SUB,climate,climatic zone,12,1.0,2,5,0
SemEvalEnvironment_SUB,climate,equatorial zone,3,1.0,1,3,0
SemEvalEnvironment_SUB,climate,frigid zone,3,1.0,2,5,0
SemEvalEnvironment_SUB,climate,tropical zone,6,1.0,2,6,0
SemEvalEnvironment_SUB,climate,climate change,6,1.0,1,2,1
SemEvalEnvironment_SUB,climate,global warming,3,1.0,1,3,1
SemEvalEnvironment_SUB,climate,bad weather,6,0.0,1,2,1
SemEvalEnvironment_SUB,atmosphere,climate,18,0.125,1,2,1
SemEvalEnvironment_SUB,atmosphere,bad weather,4,0.0,1,2,1
