dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,6,1.0,2,6,0
SemEvalFood_SUB,dessert,jelly,18,1.0,2,6,1
SemEvalFood_SUB,dessert,dainty,6,1.0,1,2,1
SemEvalFood_SUB,dessert,hard candy,6,1.0,2,5,1
SemEvalFood_SUB,dessert,candy,12,1.0,2,5,1
SemEvalFood_SUB,dessert,confiture,18,1.0,2,5,1
SemEvalFood_SUB,dessert,apple jelly,12,1.0,1,3,1
SemEvalFood_SUB,dessert,crabapple jelly,6,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",tiramisu,4,1.0,2,12,0
SemEvalFood_SUB,"course (course, dish)",appetizer,36,1.0,2,9,0
SemEvalFood_SUB,"course (course, dish)",meatball,8,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",bannock,4,1.0,2,6,1
SemEvalFood_SUB,"course (course, dish)",entree,24,1.0,2,11,0
SemEvalFood_SUB,"course (course, dish)",scampi,4,1.0,2,11,0
SemEvalFood_SUB,"course (course, dish)",antipasto,20,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",succotash,4,1.0,2,11,0
SemEvalFood_SUB,"course (course, dish)",crabapple jelly,4,1.0,2,4,1
SemEvalFood_SUB,"course (course, dish)",dainty,4,1.0,1,4,1
SemEvalFood_SUB,"course (course, dish)",gazpacho,4,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",flatbread,8,1.0,2,5,1
SemEvalFood_SUB,"course (course, dish)",jelly,12,1.0,1,2,1
SemEvalFood_SUB,"course (course, dish)",bread,32,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",french bread,8,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",popcorn,4,1.0,2,5,1
SemEvalFood_SUB,"course (course, dish)",apple jelly,8,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",porcupine ball,4,1.0,2,6,0
SemEvalFood_SUB,"course (course, dish)",soup,12,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",home fries,4,1.0,2,9,1
SemEvalFood_SUB,"course (course, dish)",chow,16,1.0,1,2,1
SemEvalFood_SUB,"course (course, dish)",mashed potato,4,1.0,2,8,1
SemEvalFood_SUB,"course (course, dish)",dessert,36,0.875,2,12,0
SemEvalFood_SUB,"course (course, dish)",tamale pie,4,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",celery stick,4,1.0,1,2,0
SemEvalFood_SUB,"course (course, dish)",moo goo gai pan,4,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",crudites,8,1.0,2,10,0
SemEvalFood_SUB,"course (course, dish)",white bread,4,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",bap,4,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",flatbrod,12,1.0,1,2,1
SemEvalFood_SUB,"course (course, dish)",curd,4,1.0,1,2,1
SemEvalFood_SUB,"course (course, dish)",hard sauce,4,1.0,1,2,1
SemEvalFood_SUB,"course (course, dish)",baguet,4,1.0,2,4,1
SemEvalFood_SUB,"course (course, dish)",broth,4,1.0,2,5,0
SemEvalFood_SUB,"course (course, dish)",eatage,8,1.0,1,2,1
SemEvalFood_SUB,"course (course, dish)",sweet,48,0.8181818181818182,1,2,1
SemEvalFood_SUB,"course (course, dish)",candy,8,1.0,1,3,1
SemEvalFood_SUB,"course (course, dish)",hard candy,4,1.0,1,2,1
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",tiramisu,1,1.0,2,12,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",jelly,3,1.0,2,22,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",green mayonnaise,1,1.0,2,11,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",appetizer,9,1.0,2,10,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",meatball,2,1.0,2,13,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",bannock,1,1.0,2,13,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",entree,6,1.0,2,11,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",dressing,5,1.0,2,19,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",herb,6,1.0,2,22,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",curd,1,1.0,2,18,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",sweet,12,1.0,2,14,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",scampi,1,1.0,2,18,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",hard sauce,1,1.0,2,19,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",potato,3,1.0,2,19,0
SemEvalFood_SUB,"food (food, foodstuff, ingredient, nutriment)",buckwheat,1,1.0,2,18,0
