dataset,source,parent,child,is_fp,type,model,justification
CellOntology_SUB,gt,branched duct epithelial cell,cholangiocyte,,is_a,google/gemma-4-31b-it,"A cholangiocyte is a specific type of epithelial cell that lines the branched bile ducts, making it a subclass of branched duct epithelial cells."
CellOntology_SUB,gt,germ line cell,germ cell,,synonym,google/gemma-4-31b-it,"In biological terminology, 'germ cell' and 'germ line cell' are used interchangeably to describe the cells that give rise to gametes."
CellOntology_SUB,gt,germ line cell,germline-derived nurse cell,,is_a,google/gemma-4-31b-it,"A germline-derived nurse cell is a specific type of cell originating from the germ line, meaning every instance of a germline-derived nurse cell is necessarily a germ line cell."
CellOntology_SUB,gt,peripheral nervous system neuron,autonomic neuron,,is_a,google/gemma-4-31b-it,"An autonomic neuron is a specific type of neuron located within the peripheral nervous system, meaning every autonomic neuron is by definition a peripheral nervous system neuron."
CellOntology_SUB,gt,peripheral nervous system neuron,peripheral sensory neuron,,is_a,google/gemma-4-31b-it,"A peripheral sensory neuron is a specific type of neuron located within the peripheral nervous system, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,sensory neuron,peripheral sensory neuron,,is_a,google/gemma-4-31b-it,"A peripheral sensory neuron is a specific type of sensory neuron located in the peripheral nervous system, meaning every peripheral sensory neuron is necessarily a sensory neuron."
CellOntology_SUB,gt,duct epithelial cell,branched duct epithelial cell,,is_a,google/gemma-4-31b-it,"A branched duct epithelial cell is a specific type of duct epithelial cell characterized by its morphology or arrangement, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,enteric neuron,intrinsic primary afferent neuron of myenteric plexus,,is_a,google/gemma-4-31b-it,"An intrinsic primary afferent neuron of the myenteric plexus is a specific type of neuron found within the enteric nervous system, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,gt,lymphocyte of b lineage cd19-positive,b cell cd19-positive,,synonym,google/gemma-4-31b-it,"The terms 'b cell cd19-positive' and 'lymphocyte of b lineage cd19-positive' both describe the same biological entity (a CD19+ B lymphocyte), and the taxonomy explicitly lists 'b cell cd19-positive' as a member of the group containing 'lymphocyte of b lineage cd19-positive'."
CellOntology_SUB,gt,mucus secreting cell,large mucus secreting cholangiocyte,,is_a,google/gemma-4-31b-it,A large mucus secreting cholangiocyte is a specific type of mucus secreting cell that is also a cholangiocyte.
CellOntology_SUB,gt,neurecto-epithelial cell,olfactory epithelial cell,,is_a,google/gemma-4-31b-it,"Olfactory epithelial cells are a specialized type of neuroepithelial cell (neurecto-epithelial cell) derived from the olfactory placode, meaning every olfactory epithelial cell is a kind of neurecto-epithelial cell."
CellOntology_SUB,gt,cholangiocyte,large mucus secreting cholangiocyte,,is_a,google/gemma-4-31b-it,A 'large mucus secreting cholangiocyte' is a specific subtype of 'cholangiocyte' characterized by its size and secretory function.
