dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,8,1.0,2,2,0
SemEvalFood_SUB,dish,tiramisu,3,1.0,2,2,1
SemEvalFood_SUB,dish,jelly,9,0.0,1,1,1
SemEvalFood_SUB,dish,meatball,6,1.0,2,2,0
SemEvalFood_SUB,dish,entree,3,1.0,2,2,1
SemEvalFood_SUB,dish,sweet,33,0.3,1,1,1
SemEvalFood_SUB,dish,scampi,3,1.0,2,2,0
SemEvalFood_SUB,dish,succotash,3,1.0,2,2,0
SemEvalFood_SUB,dish,gazpacho,3,1.0,2,2,0
SemEvalFood_SUB,dish,appetizer,21,0.3333333333333333,1,1,1
SemEvalFood_SUB,dish,antipasto,3,1.0,1,1,1
SemEvalFood_SUB,dish,porcupine ball,3,1.0,2,2,0
SemEvalFood_SUB,dish,soup,9,1.0,2,2,0
SemEvalFood_SUB,dish,home fries,3,1.0,2,2,1
SemEvalFood_SUB,dish,mashed potato,3,1.0,2,2,1
SemEvalFood_SUB,dish,dessert,6,1.0,2,2,1
SemEvalFood_SUB,dish,tamale pie,3,1.0,2,2,0
SemEvalFood_SUB,dish,moo goo gai pan,3,1.0,2,2,0
SemEvalFood_SUB,dish,crudites,6,0.0,2,2,1
SemEvalFood_SUB,dish,broth,3,1.0,2,2,0
SemEvalFood_SUB,dish,popcorn,3,1.0,1,1,1
SemEvalFood_SUB,food,tiramisu,1,1.0,2,2,0
SemEvalFood_SUB,food,jelly,3,1.0,2,2,0
SemEvalFood_SUB,food,green mayonnaise,1,1.0,2,2,0
SemEvalFood_SUB,food,appetizer,7,1.0,2,2,0
SemEvalFood_SUB,food,meatball,2,1.0,2,2,0
SemEvalFood_SUB,food,bannock,1,1.0,2,2,0
SemEvalFood_SUB,food,dressing,4,1.0,2,2,0
SemEvalFood_SUB,food,herb,9,1.0,2,2,0
SemEvalFood_SUB,food,bullshot,1,1.0,2,2,0
SemEvalFood_SUB,food,curd,1,1.0,2,2,0
SemEvalFood_SUB,food,sweet,11,1.0,2,2,0
SemEvalFood_SUB,food,scampi,1,1.0,2,2,0
SemEvalFood_SUB,food,hard sauce,1,1.0,2,2,0
SemEvalFood_SUB,food,potato,3,1.0,2,2,0
SemEvalFood_SUB,food,buckwheat,1,1.0,2,2,0
SemEvalFood_SUB,food,fennel seed,1,1.0,2,2,0
SemEvalFood_SUB,food,center,1,1.0,2,2,0
SemEvalFood_SUB,food,antipasto,1,1.0,2,2,0
SemEvalFood_SUB,food,dairy product,2,1.0,2,2,0
SemEvalFood_SUB,food,corn,2,1.0,2,2,0
SemEvalFood_SUB,food,diabetic diet,1,1.0,2,2,0
SemEvalFood_SUB,food,sauce,9,1.0,2,2,0
SemEvalFood_SUB,food,nut butter,1,1.0,2,2,0
SemEvalFood_SUB,food,grain,5,1.0,2,2,0
SemEvalFood_SUB,food,succotash,1,1.0,2,2,0
SemEvalFood_SUB,food,crabapple jelly,1,1.0,2,2,0
SemEvalFood_SUB,food,tea,5,1.0,2,2,0
SemEvalFood_SUB,food,ravigote,1,1.0,2,2,0
SemEvalFood_SUB,food,dainty,12,1.0,2,2,0
SemEvalFood_SUB,food,taco sauce,1,1.0,2,2,0
SemEvalFood_SUB,food,fare,13,1.0,2,2,0
SemEvalFood_SUB,food,groats,1,1.0,2,2,0
SemEvalFood_SUB,food,bread,8,1.0,2,2,0
SemEvalFood_SUB,food,eatage,9,1.0,2,2,0
SemEvalFood_SUB,food,meal,17,1.0,2,2,0
SemEvalFood_SUB,food,condiment,19,1.0,2,2,0
SemEvalFood_SUB,food,french bread,2,1.0,2,2,0
SemEvalFood_SUB,food,gazpacho,1,1.0,2,2,0
SemEvalFood_SUB,food,flatbread,3,1.0,2,2,0
SemEvalFood_SUB,food,relish,2,1.0,2,2,0
SemEvalFood_SUB,food,hard candy,1,1.0,2,2,0
SemEvalFood_SUB,food,dish,32,1.0,2,2,0
SemEvalFood_SUB,food,feed,11,1.0,2,2,0
SemEvalFood_SUB,food,camomile tea,1,1.0,2,2,0
SemEvalFood_SUB,food,pickle relish,1,1.0,2,2,0
SemEvalFood_SUB,food,popcorn,1,1.0,2,2,0
SemEvalFood_SUB,food,fodder,1,1.0,2,2,0
SemEvalFood_SUB,food,apple jelly,2,1.0,2,2,0
SemEvalFood_SUB,food,conserve,4,1.0,2,2,0
SemEvalFood_SUB,food,liquor,2,1.0,2,2,0
SemEvalFood_SUB,food,course,20,1.0,2,2,0
SemEvalFood_SUB,food,porcupine ball,1,1.0,2,2,0
SemEvalFood_SUB,food,starches,7,1.0,1,1,0
SemEvalFood_SUB,food,blue cheese dressing,1,1.0,2,2,0
SemEvalFood_SUB,food,candy,2,1.0,2,2,0
SemEvalFood_SUB,food,foodstuff,67,1.0,2,2,0
SemEvalFood_SUB,food,confiture,1,1.0,2,2,0
SemEvalFood_SUB,food,soup,3,1.0,2,2,0
SemEvalFood_SUB,food,home fries,1,1.0,2,2,0
SemEvalFood_SUB,food,chow,9,1.0,2,2,0
SemEvalFood_SUB,food,mashed potato,1,1.0,2,2,0
SemEvalFood_SUB,food,vitamin b2,1,1.0,2,2,0
SemEvalFood_SUB,food,alfalfa,1,1.0,1,1,0
SemEvalFood_SUB,food,dessert,2,1.0,2,2,0
SemEvalFood_SUB,food,nutriment,87,1.0,2,2,0
SemEvalFood_SUB,food,tamale pie,1,1.0,2,2,0
SemEvalFood_SUB,food,celery stick,1,1.0,2,2,0
SemEvalFood_SUB,food,moo goo gai pan,1,1.0,2,2,0
SemEvalFood_SUB,food,"herb tea (herb tea, tisane)",2,1.0,2,4,0
SemEvalFood_SUB,food,caraway seed,1,1.0,2,2,0
SemEvalFood_SUB,food,steak sauce,1,1.0,2,2,0
SemEvalFood_SUB,food,baguet,1,1.0,2,2,0
SemEvalFood_SUB,food,garlic,1,1.0,2,2,0
SemEvalFood_SUB,food,crudites,2,1.0,2,2,0
SemEvalFood_SUB,food,soda water,1,1.0,2,2,0
SemEvalFood_SUB,food,white bread,4,1.0,2,2,0
SemEvalFood_SUB,food,mayonnaise,2,1.0,2,2,0
SemEvalFood_SUB,food,diet,9,1.0,2,2,0
SemEvalFood_SUB,food,entree,1,1.0,1,1,0
SemEvalFood_SUB,food,ingredient,37,1.0,1,1,0
SemEvalFood_SUB,food,sun tea,1,1.0,1,1,0
SemEvalFood_SUB,food,spread,7,1.0,1,1,0
SemEvalFood_SUB,food,oolong,1,1.0,1,1,0
SemEvalFood_SUB,food,gin and it,1,1.0,1,1,0
SemEvalFood_SUB,food,flavorer,31,1.0,1,1,0
SemEvalFood_SUB,food,gin,1,1.0,1,1,0
SemEvalFood_SUB,food,vitamin,6,1.0,1,1,0
SemEvalFood_SUB,food,water soluble vitamin,5,1.0,1,1,0
SemEvalFood_SUB,food,niacin,1,1.0,1,1,0
SemEvalFood_SUB,food,sugar water,1,1.0,1,1,0
SemEvalFood_SUB,food,cocktail,3,1.0,1,1,0
SemEvalFood_SUB,food,pantothenic acid,1,1.0,1,1,0
SemEvalFood_SUB,food,b complex vitamin,4,1.0,1,1,0
SemEvalFood_SUB,food,broth,1,1.0,2,2,0
SemEvalFood_SUB,food,bap,1,1.0,2,2,0
SemEvalFood_SUB,food,flatbrod,1,1.0,2,2,0
SemEvalFood_SUB,nutriment,tiramisu,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,jelly,6,1.0,2,2,0
SemEvalFood_SUB,nutriment,appetizer,14,0.5,2,2,0
SemEvalFood_SUB,nutriment,meatball,4,1.0,2,2,0
SemEvalFood_SUB,nutriment,curd,2,1.0,2,2,1
SemEvalFood_SUB,nutriment,scampi,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,potato,6,1.0,1,1,1
SemEvalFood_SUB,nutriment,buckwheat,2,1.0,2,2,1
SemEvalFood_SUB,nutriment,antipasto,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,sauce,18,1.0,2,2,1
SemEvalFood_SUB,nutriment,grain,10,1.0,2,2,1
SemEvalFood_SUB,nutriment,succotash,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,dainty,24,1.0,2,2,0
SemEvalFood_SUB,nutriment,meal,34,0.625,2,2,0
SemEvalFood_SUB,nutriment,french bread,4,0.0,1,1,1
SemEvalFood_SUB,nutriment,gazpacho,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,hard candy,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,dish,64,0.9032258064516129,2,2,0
SemEvalFood_SUB,nutriment,popcorn,2,1.0,2,2,1
SemEvalFood_SUB,nutriment,course,40,0.8421052631578947,2,2,0
SemEvalFood_SUB,nutriment,porcupine ball,2,1.0,2,2,0
SemEvalFood_SUB,nutriment,starches,14,0.5,2,2,1
SemEvalFood_SUB,nutriment,soup,6,1.0,2,2,0
