dataset,parent,child,type,model,justification
WordNetFood_SUB,dessert,chocolate,other_related,google/gemma-4-31b-it,"While chocolate is often served as a dessert, it is a food substance/ingredient that can be used in many non-dessert contexts (e.g., savory moles), meaning not every instance of chocolate is a dessert."
WordNetFood_SUB,dish,tart,is_a,google/gemma-4-31b-it,"A tart is a specific kind of prepared food item, and therefore every tart is a type of dish."
WordNetFood_SUB,berry,elderberry,other_related,google/gemma-4-31b-it,"While elderberries are commonly called berries in a culinary sense, botanically they are drupes and not true berries, making the relationship a common misclassification or a loose association rather than a strict taxonomic subsumption."
WordNetFood_SUB,dessert,gingersnap,is_a,google/gemma-4-31b-it,"A gingersnap is a type of cookie, and since cookies are a kind of dessert, every gingersnap is also a dessert."
WordNetFood_SUB,snack food,bun,other_related,google/gemma-4-31b-it,"A bun is a type of bread or baked good that can be used to make a snack, but it is not inherently a kind of snack food itself."
WordNetFood_SUB,dish,lobster tart,is_a,google/gemma-4-31b-it,"A lobster tart is a specific type of prepared food item, and every lobster tart is by definition a dish."
WordNetFood_SUB,brew,koumiss,is_a,google/gemma-4-31b-it,"Koumiss is a fermented dairy product produced through a brewing-like process, making it a specific type of brew."
WordNetFood_SUB,starches,dough,made_of,google/gemma-4-31b-it,"Dough is not a type of starch, but rather a mixture primarily composed of starches (like flour)."
WordNetFood_SUB,"produce (produce, vegetable)",rice,other_related,google/gemma-4-31b-it,"While rice is a food product, in a taxonomic sense, 'produce' typically refers specifically to fresh fruits and vegetables, whereas rice is a grain/cereal."
WordNetFood_SUB,dish,"baked goods (baked goods, pastry)",is_a,google/gemma-4-31b-it,"A baked good is a specific category of food that can be prepared as a dish, and every baked good (like a cake or bread) is a type of dish in a culinary context."
WordNetFood_SUB,dish,cake,is_a,google/gemma-4-31b-it,"A cake is a specific type of prepared food item, which fits the definition of a dish."
WordNetFood_SUB,dish,bun,part_of,google/gemma-4-31b-it,"A bun is a type of bread or baked good that can be used as a component of a dish (like a burger or sandwich), but it is not a type of ""dish"" itself."
WordNetFood_SUB,seafood,scampi,is_a,google/gemma-4-31b-it,"Scampi is a type of crustacean/shellfish, and since all such creatures are categorized as seafood, every instance of scampi is an instance of seafood."
WordNetFood_SUB,concoction,soup,is_a,google/gemma-4-31b-it,"While a soup is a mixture of ingredients, 'concoction' typically refers to a mixture created by combining various ingredients, often in an unusual or complex way, making soup a specific type of such a mixture."
WordNetFood_SUB,dessert,cookie,other_related,google/gemma-4-31b-it,"While many cookies are served as desserts, not every cookie is a dessert (e.g., a breakfast cookie or a cookie used as an ingredient), and not every dessert is a cookie, making this a functional or situational association rather than a strict taxonomic subsumption."
WordNetFood_SUB,snack food,"baked goods (baked goods, pastry)",other_related,google/gemma-4-31b-it,Not every baked good (such as a loaf of sourdough bread or a birthday cake) is considered a snack food.
WordNetFood_SUB,snack food,sweet roll,other_related,google/gemma-4-31b-it,"While a sweet roll can be eaten as a snack, it is fundamentally a type of baked good/bread, whereas 'snack food' is a functional category based on usage rather than a taxonomic class that subsumes all sweet rolls."
WordNetFood_SUB,ale,spruce beer,other_related,google/gemma-4-31b-it,"Spruce beer is a type of beer, but it is distinct from ale, which is a specific category of beer brewed with top-fermenting yeast."
WordNetFood_SUB,dish,gingersnap,is_a,google/gemma-4-31b-it,"A gingersnap is a type of cookie, and a cookie is a type of dish (in the sense of a prepared food item), meaning every gingersnap is necessarily a dish."
WordNetFood_SUB,dessert,bear claw,is_a,google/gemma-4-31b-it,A bear claw is a type of sweet pastry that is commonly served and categorized as a dessert.
WordNetFood_SUB,dish,beef jerky,other_related,google/gemma-4-31b-it,"Beef jerky is a type of prepared food item, and while it is edible, it is generally categorized as a snack or a preserved meat product rather than a 'dish', which typically refers to a specific prepared culinary recipe or a plated meal."
WordNetFood_SUB,dish,bear claw,is_a,google/gemma-4-31b-it,"A bear claw is a specific type of pastry, and since a pastry is a kind of dish (a prepared food item), every bear claw is also a dish."
WordNetFood_SUB,dish,"diet (diet, fare, food, foodstuff, ingredient, meal, nutriment)",other_related,google/gemma-4-31b-it,"A diet is a regime or pattern of eating, whereas a dish is a specific prepared food item; a diet is not a kind of dish, nor is a dish a kind of diet."
WordNetFood_SUB,dish,bread,other_related,google/gemma-4-31b-it,"While bread is a type of food, it is a basic food category or ingredient rather than a prepared 'dish' (which typically refers to a specific recipe or meal like 'chicken paprika')."
WordNetFood_SUB,dish,squash pie,is_a,google/gemma-4-31b-it,"A squash pie is a specific type of dish, as every instance of a squash pie is also an instance of a dish."
WordNetFood_SUB,snack food,gingersnap,is_a,google/gemma-4-31b-it,"Every gingersnap is a type of snack food, as it fits the definition of a food item typically eaten between meals."
WordNetFood_SUB,dish,sweet roll,is_a,google/gemma-4-31b-it,"A sweet roll is a specific type of prepared food item, and since every sweet roll is a kind of dish, the subsumption holds."
WordNetFood_SUB,meat,shellfish,other_related,google/gemma-4-31b-it,"While shellfish are edible animal flesh, in culinary and biological taxonomies, 'meat' typically refers specifically to the flesh of mammals (and sometimes poultry), whereas shellfish are categorized under 'seafood'."
WordNetFood_SUB,dish,condiment,part_of,google/gemma-4-31b-it,"A condiment is not a type of dish, but rather a substance used to enhance the flavor of a dish or served as a component of one."
WordNetFood_SUB,course,"diet (diet, fare, food, foodstuff, ingredient, meal, nutriment)",unrelated,google/gemma-4-31b-it,"A diet (a specific regime of food) is not a type of course (a specific stage of a meal), nor is a course a type of diet; they are distinct concepts within the domain of food."
WordNetFood_SUB,concoction,clam chowder,is_a,google/gemma-4-31b-it,"A clam chowder is a specific type of concoction (a mixture of various ingredients), meaning every instance of clam chowder is also an instance of a concoction."
WordNetFood_SUB,dessert,sweet roll,other_related,google/gemma-4-31b-it,"While a sweet roll can be served as a dessert, not every sweet roll is a dessert (e.g., it can be a breakfast item), and not every dessert is a sweet roll, making this a functional or situational association rather than a strict taxonomic subsumption."
WordNetFood_SUB,shellfish,scampi,made_of,google/gemma-4-31b-it,"Scampi is a dish made from shellfish (specifically langoustines or prawns), meaning the shellfish is an ingredient of the dish."
WordNetFood_SUB,flavorer,chocolate,other_related,google/gemma-4-31b-it,"Chocolate is not a type of flavorer, but rather a food item that can be used as a flavorer or ingredient in other products."
WordNetFood_SUB,dish,soul food,other_related,google/gemma-4-31b-it,"'Soul food' refers to a broad culinary tradition or category of cuisine, whereas a 'dish' is a specific prepared food item; therefore, soul food is not a kind of dish, but rather a category that contains many different dishes."
WordNetFood_SUB,concoction,chowder,is_a,google/gemma-4-31b-it,"A chowder is a specific type of concoction (a mixture of various ingredients), meaning every instance of a chowder is also an instance of a concoction."
WordNetFood_SUB,seafood,clam chowder,made_of,google/gemma-4-31b-it,"Clam chowder is not a type of seafood, but rather a dish made using seafood as a primary ingredient."
WordNetFood_SUB,dish,anchovy sauce,part_of,google/gemma-4-31b-it,"An anchovy sauce is an ingredient or condiment used to prepare or accompany a dish, rather than being a type of dish itself."
WordNetFood_SUB,snack food,chocolate candy,is_a,google/gemma-4-31b-it,Every instance of chocolate candy is a type of snack food.
WordNetFood_SUB,dish,cookie,other_related,google/gemma-4-31b-it,"While a cookie is a type of food, it is a specific baked good rather than a ""dish,"" which typically refers to a prepared culinary preparation or a specific meal item (like scampi or gyro)."
WordNetFood_SUB,snack food,cookie,is_a,google/gemma-4-31b-it,"Every cookie is a type of snack food, as it fits the definition of a small portion of food eaten between meals."
WordNetFood_SUB,dessert,tart,is_a,google/gemma-4-31b-it,"A tart is a specific type of dessert, meaning every instance of a tart is also an instance of a dessert."
WordNetFood_SUB,"produce (produce, vegetable)",brown rice,is_a,google/gemma-4-31b-it,"Brown rice is a type of agricultural product, and in a commercial or culinary context, it falls under the category of produce."
WordNetFood_SUB,meat,octopus,other_related,google/gemma-4-31b-it,"While octopus is a type of food and seafood, it is not a type of meat in a strict taxonomic sense, as 'meat' typically refers to the flesh of mammals (as evidenced by the other children like beef and pork), making the relationship one of general category membership rather than proper subsumption."
WordNetFood_SUB,snack food,chocolate,other_related,google/gemma-4-31b-it,"While chocolate is often eaten as a snack, not all chocolate is a snack food (e.g., baking chocolate used as an ingredient), and not all snack foods are chocolate."
WordNetFood_SUB,concoction,sauce,is_a,google/gemma-4-31b-it,"A sauce is a type of concoction (a mixture of various ingredients), meaning every instance of a sauce is also an instance of a concoction."
WordNetFood_SUB,"produce (produce, vegetable)",herb,is_a,google/gemma-4-31b-it,"An herb is a type of agricultural product (produce), meaning every instance of an herb is also an instance of produce."
WordNetFood_SUB,starches,grain,made_of,google/gemma-4-31b-it,"Grains are not a type of starch, but rather they are biological structures that are primarily composed of starch."
WordNetFood_SUB,concoction,anchovy sauce,is_a,google/gemma-4-31b-it,"An anchovy sauce is a specific type of concoction (a mixture of various ingredients), meaning every instance of the sauce is also an instance of a concoction."
WordNetFood_SUB,dish,pie,is_a,google/gemma-4-31b-it,"A pie is a specific type of dish, as every instance of a pie is also an instance of a prepared food dish."
CellOntology_SUB,neural cell,neurecto-epithelial cell,derives_from,google/gemma-4-31b-it,Neurecto-epithelial cells are the progenitor cells from which the neural lineage (including neural cells) originates during embryonic development.
CellOntology_SUB,nucleate cell,cerebral cortex glial cell,is_a,google/gemma-4-31b-it,"A cerebral cortex glial cell is a type of cell that possesses a nucleus, and therefore every instance of a cerebral cortex glial cell is also an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,superior cervical ganglion thnpy neuron,is_a,google/gemma-4-31b-it,"A 'superior cervical ganglion thnpy neuron' is a type of neuron, and since all neurons are cells that possess a nucleus, it is by definition a nucleate cell."
CellOntology_SUB,cerebral cortex glial cell,brain macroglial cell,is_a_inverted,google/gemma-4-31b-it,"A 'brain macroglial cell' is a general type of cell found throughout the brain, whereas a 'cerebral cortex glial cell' is a glial cell specifically located in the cerebral cortex; therefore, the latter is a subtype of the former."
CellOntology_SUB,nucleate cell,precursor cell,derives_from,google/gemma-4-31b-it,"A precursor cell is a cell that develops into a more specialized cell type, and while it may be nucleate, the primary relationship is one of developmental origin rather than a taxonomic classification of ""nucleate cell"" as its defining genus."
CellOntology_SUB,glial cell,vascular leptomeningeal cell,unrelated,google/gemma-4-31b-it,"Vascular leptomeningeal cells are specialized fibroblast-like cells of the meninges (mesenchymal origin), whereas glial cells are neuroectodermal cells; they are distinct cell lineages that both support the nervous system but do not share a subsumption relationship."
CellOntology_SUB,nucleate cell,central nervous system neuron,is_a,google/gemma-4-31b-it,"A central nervous system neuron is a type of cell that possesses a nucleus, making it a member of the class of nucleate cells."
CellOntology_SUB,neural crest derived neuron,superior cervical ganglion thnpy neuron,is_a,google/gemma-4-31b-it,"The superior cervical ganglion (SCG) is part of the sympathetic nervous system, and its neurons are developmentally derived from the neural crest; therefore, every SCG neuron is a type of neural crest-derived neuron."
CellOntology_SUB,nucleate cell,gamete-nursing cell,is_a,google/gemma-4-31b-it,"A gamete-nursing cell (such as a nurse cell in oogenesis) is a type of cell that contains a nucleus, making it a specific instance of the broader category of nucleate cells."
CellOntology_SUB,neural crest derived neuron,peripheral sensory neuron,derives_from,google/gemma-4-31b-it,"While many peripheral sensory neurons (such as those in the dorsal root ganglia) are derived from the neural crest, the relationship is fundamentally one of developmental origin rather than a taxonomic ""is-a"" classification, as ""neural crest derived"" describes the lineage of the cell."
CellOntology_SUB,nucleate cell,epithelial cell of alimentary canal,is_a,google/gemma-4-31b-it,"An epithelial cell of the alimentary canal is a type of cell that possesses a nucleus, meaning every instance of the former is necessarily an instance of the latter."
CellOntology_SUB,nucleate cell,neural cell,is_a,google/gemma-4-31b-it,"A neural cell is a type of cell that possesses a nucleus, making it a specific instance of the broader category of nucleate cells."
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",chemoreceptor cell,is_a,google/gemma-4-31b-it,"Chemoreceptor cells are specialized sensory cells that generate electrical signals (receptor potentials) in response to chemical stimuli, making them a specific type of electrically active cell."
CellOntology_SUB,nucleate cell,large mucus secreting cholangiocyte,is_a,google/gemma-4-31b-it,"A large mucus secreting cholangiocyte is a type of cell that possesses a nucleus, making it a member of the class of nucleate cells."
CellOntology_SUB,secretory epithelial cell,steroid hormone secreting cell,is_a,google/gemma-4-31b-it,Steroid hormone secreting cells (such as those in the adrenal cortex or gonads) are specialized types of secretory epithelial cells.
CellOntology_SUB,nucleate cell,intrinsic primary afferent neuron of myenteric plexus,is_a,google/gemma-4-31b-it,"An intrinsic primary afferent neuron of the myenteric plexus is a type of neuron, and all neurons are eukaryotic cells that possess a nucleus, making them instances of nucleate cells."
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",glial cell,other_related,google/gemma-4-31b-it,"While some glial cells exhibit electrical properties (like calcium waves), they are fundamentally defined by their support role and lack the specialized action-potential-generating machinery that defines the class of electrically active cells (primarily neurons)."
CellOntology_SUB,nucleate cell,interneuron,is_a,google/gemma-4-31b-it,"An interneuron is a type of neuron, and since all neurons are eukaryotic cells that possess a nucleus, every interneuron is by definition a nucleate cell."
CellOntology_SUB,nucleate cell,sympathetic neuron,is_a,google/gemma-4-31b-it,"A sympathetic neuron is a type of cell that possesses a nucleus, meaning every instance of a sympathetic neuron is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,spermatid,is_a,google/gemma-4-31b-it,"A spermatid is a type of cell that contains a nucleus, and therefore every instance of a spermatid is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,auditory epithelial cell,is_a,google/gemma-4-31b-it,"An auditory epithelial cell is a type of eukaryotic cell that possesses a nucleus, and therefore every instance of an auditory epithelial cell is by definition a nucleate cell."
CellOntology_SUB,nucleate cell,glial cell,is_a,google/gemma-4-31b-it,"A glial cell is a type of eukaryotic cell that possesses a nucleus, and therefore every instance of a glial cell is by definition a nucleate cell."
CellOntology_SUB,secretory epithelial cell,cholangiocyte,other_related,google/gemma-4-31b-it,"While some specialized cholangiocytes (like the large mucus-secreting type) are secretory, the general class of cholangiocytes consists primarily of cells involved in transport and ductal lining, not all of which are classified as secretory epithelial cells."
CellOntology_SUB,nucleate cell,strial basal cell,is_a,google/gemma-4-31b-it,"A strial basal cell is a type of cell that contains a nucleus, and since all nucleate cells are cells and the strial basal cell is a specialized eukaryotic cell, it is a member of the class of nucleate cells."
CellOntology_SUB,nucleate cell,polyploid cell,is_a,google/gemma-4-31b-it,"A polyploid cell is a type of cell that contains multiple sets of chromosomes within its nucleus, meaning every polyploid cell is necessarily a nucleate cell."
CellOntology_SUB,nucleate cell,motile cell,other_related,google/gemma-4-31b-it,"Not every motile cell is nucleate (e.g., some prokaryotic motile cells lack a nucleus), and not every nucleate cell is motile."
CellOntology_SUB,nucleate cell,seromucus secreting cell,is_a,google/gemma-4-31b-it,"A seromucus secreting cell is a type of cell that possesses a nucleus, meaning every instance of a seromucus secreting cell is also an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,neuron,is_a,google/gemma-4-31b-it,"A neuron is a type of cell that possesses a nucleus, meaning every instance of a neuron is necessarily an instance of a nucleate cell."
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",astrocyte of the forebrain,other_related,google/gemma-4-31b-it,"Astrocytes are glial cells that maintain ionic homeostasis and respond to electrical activity, but they are not ""electrically active cells"" in the sense of generating action potentials or being defined by electrical excitability like neurons."
CellOntology_SUB,nucleate cell,mesothelial fibroblast,is_a,google/gemma-4-31b-it,"A mesothelial fibroblast is a type of eukaryotic cell that possesses a nucleus, meaning every instance of a mesothelial fibroblast is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,vlmc nn vascular leptomeningeal cell mmus,is_a,google/gemma-4-31b-it,"A vascular leptomeningeal cell is a type of cell that possesses a nucleus, making it a member of the class of nucleate cells."
CellOntology_SUB,nucleate cell,columnarcuboidal epithelial cell,is_a,google/gemma-4-31b-it,"A columnarcuboidal epithelial cell is a type of eukaryotic cell, and since all eukaryotic cells possess a nucleus, it is by definition a nucleate cell."
CellOntology_SUB,nucleate cell,epithelial cell,is_a,google/gemma-4-31b-it,"An epithelial cell is a type of cell that possesses a nucleus, meaning every instance of an epithelial cell is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,secretory cell,is_a,google/gemma-4-31b-it,"A secretory cell is a type of cell that possesses a nucleus (unless it is a specialized anucleate secretory cell, but in general biological taxonomy, secretory cells are categorized as nucleate cells)."
CellOntology_SUB,professional antigen presenting cell,"b cell (b cell, lymphocyte of b lineage)",is_a,google/gemma-4-31b-it,"A B cell is a type of professional antigen-presenting cell, as it possesses the necessary machinery (MHC class II) to present antigens to T cells."
CellOntology_SUB,cerebral cortex glial cell,astrocyte,located_in,google/gemma-4-31b-it,"An astrocyte is a general type of glial cell found throughout the central nervous system, whereas a cerebral cortex glial cell is a glial cell specifically located in the cerebral cortex; therefore, not every astrocyte is a cerebral cortex glial cell."
CellOntology_SUB,nucleate cell,macroglial cell,is_a,google/gemma-4-31b-it,"A macroglial cell is a type of eukaryotic cell that possesses a nucleus, and therefore every instance of a macroglial cell is by definition a nucleate cell."
CellOntology_SUB,"electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell)",sensory receptor cell,is_a,google/gemma-4-31b-it,"Sensory receptor cells are specialized cells that transduce stimuli into electrical signals (receptor potentials), making them a specific type of electrically active cell."
CellOntology_SUB,nucleate cell,branched duct epithelial cell,is_a,google/gemma-4-31b-it,"A branched duct epithelial cell is a type of eukaryotic cell, and since all eukaryotic cells possess a nucleus, it is by definition a nucleate cell."
CellOntology_SUB,single nucleate cell,spermatid,is_a,google/gemma-4-31b-it,"A spermatid is a type of cell that contains a single nucleus, meaning every instance of a spermatid is necessarily an instance of a single nucleate cell."
CellOntology_SUB,neuron associated cell,vlmc nn vascular leptomeningeal cell mmus,is_a,google/gemma-4-31b-it,"The vascular leptomeningeal cell is a specialized fibroblast of the meninges (connective tissue) that supports the nervous system, making it a type of cell associated with neurons, though it is not a glial cell."
CellOntology_SUB,nucleate cell,astrocyte,is_a,google/gemma-4-31b-it,"An astrocyte is a type of eukaryotic cell that possesses a nucleus, and therefore every instance of an astrocyte is necessarily an instance of a nucleate cell."
CellOntology_SUB,nucleate cell,mesenchymal stem cell,is_a,google/gemma-4-31b-it,"A mesenchymal stem cell is a type of eukaryotic cell that possesses a nucleus, and therefore every instance of a mesenchymal stem cell is by definition a nucleate cell."
