dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"dessert (dessert, sweet)",tiramisu,4,1.0,2,4,0
SemEvalFood_SUB,"dessert (dessert, sweet)",jelly,12,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",crabapple jelly,4,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",hard candy,4,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",apple jelly,8,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",sugar water,4,1.0,1,1,1
SemEvalFood_SUB,"dessert (dessert, sweet)",conserve,12,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",candy,8,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",confiture,20,1.0,1,2,0
SemEvalFood_SUB,dainty,tiramisu,3,1.0,1,1,1
SemEvalFood_SUB,dainty,hard candy,3,1.0,1,1,0
SemEvalFood_SUB,dainty,candy,6,1.0,1,1,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",tiramisu,2,1.0,2,8,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",appetizer,16,1.0,2,8,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",meatball,2,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",entree,6,1.0,2,7,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",scampi,2,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",antipasto,14,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",succotash,2,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",gazpacho,2,1.0,2,12,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",jelly,6,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",green mayonnaise,2,1.0,2,10,0
