dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"dessert (dessert, sweet)",tiramisu,3,1.0,2,4,0
SemEvalFood_SUB,"dessert (dessert, sweet)",jelly,9,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",crabapple jelly,3,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",hard candy,3,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",apple jelly,6,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",conserve,9,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",candy,6,1.0,2,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",confiture,15,1.0,1,2,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",tiramisu,1,1.0,2,8,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",appetizer,8,1.0,2,8,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",meatball,1,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",entree,3,1.0,2,7,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",scampi,1,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",antipasto,7,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",succotash,1,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",gazpacho,1,1.0,2,12,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",jelly,3,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",green mayonnaise,1,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",bannock,1,1.0,2,9,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",bullshot,1,1.0,2,9,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",sun tea,1,1.0,2,9,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",sauce,11,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",crabapple jelly,1,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",ravigote,1,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",gin and it,1,1.0,1,4,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",taco sauce,1,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",french bread,2,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",flatbread,3,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",apple jelly,2,1.0,2,8,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",conserve,3,1.0,1,4,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",porcupine ball,1,1.0,1,4,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",blue cheese dressing,1,1.0,2,8,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",confiture,5,1.0,2,9,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",soup,4,1.0,2,10,0
SemEvalFood_SUB,"chow (chow, dish, eatage, feed, food, foodstuff, ingredient, meal, nutriment)",home fries,1,1.0,2,12,0
