dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"dessert (dessert, sweet)",tiramisu,6,1.0,2,8,0
SemEvalFood_SUB,"dessert (dessert, sweet)",jelly,18,1.0,2,8,0
SemEvalFood_SUB,"dessert (dessert, sweet)",candy,18,1.0,2,8,0
SemEvalFood_SUB,"dessert (dessert, sweet)",hard candy,6,1.0,2,8,0
SemEvalFood_SUB,"dessert (dessert, sweet)",crabapple jelly,6,1.0,2,7,0
SemEvalFood_SUB,"dessert (dessert, sweet)",apple jelly,12,1.0,2,6,0
SemEvalFood_SUB,"dessert (dessert, sweet)","confiture (confiture, conserve)",24,1.0,1,2,0
SemEvalFood_SUB,"dessert (dessert, sweet)",sugar water,6,1.0,1,1,1
SemEvalFood_SUB,"dessert (dessert, sweet)",hard sauce,6,1.0,1,2,1
SemEvalFood_SUB,"dessert (dessert, sweet)",dainty,6,1.0,1,6,1
SemEvalFood_SUB,dish,tiramisu,3,1.0,2,5,1
SemEvalFood_SUB,dish,appetizer,30,0.8888888888888888,2,5,1
SemEvalFood_SUB,dish,meatball,6,1.0,2,7,0
SemEvalFood_SUB,dish,bannock,3,1.0,2,5,1
SemEvalFood_SUB,dish,entree,15,1.0,2,4,1
SemEvalFood_SUB,dish,antipasto,9,0.5,2,6,1
SemEvalFood_SUB,dish,succotash,3,1.0,2,5,0
SemEvalFood_SUB,dish,crabapple jelly,3,1.0,2,6,1
SemEvalFood_SUB,dish,dainty,3,1.0,1,3,1
SemEvalFood_SUB,dish,bread,24,1.0,2,6,1
SemEvalFood_SUB,dish,gazpacho,3,1.0,2,5,0
SemEvalFood_SUB,dish,flatbread,9,1.0,2,5,1
SemEvalFood_SUB,dish,jelly,9,1.0,1,3,1
SemEvalFood_SUB,dish,scampi,3,1.0,1,3,0
SemEvalFood_SUB,dish,french bread,6,1.0,1,3,1
SemEvalFood_SUB,dish,popcorn,3,1.0,2,4,1
SemEvalFood_SUB,dish,apple jelly,6,1.0,1,3,1
SemEvalFood_SUB,dish,"confiture (confiture, conserve)",12,1.0,2,6,1
SemEvalFood_SUB,dish,porcupine ball,3,1.0,2,5,0
SemEvalFood_SUB,dish,soup,9,1.0,2,5,0
SemEvalFood_SUB,dish,home fries,3,1.0,2,6,1
SemEvalFood_SUB,dish,chow,30,1.0,2,4,1
SemEvalFood_SUB,dish,mashed potato,3,1.0,2,5,1
SemEvalFood_SUB,dish,"dessert (dessert, sweet)",33,0.6,2,5,1
SemEvalFood_SUB,dish,tamale pie,3,1.0,2,5,0
SemEvalFood_SUB,dish,moo goo gai pan,3,1.0,2,5,0
SemEvalFood_SUB,dish,baguet,3,1.0,1,3,1
SemEvalFood_SUB,dish,white bread,3,1.0,1,3,1
SemEvalFood_SUB,dish,bap,3,1.0,2,5,1
SemEvalFood_SUB,dish,flatbrod,3,1.0,2,5,1
SemEvalFood_SUB,dish,crudites,6,0.0,2,3,1
SemEvalFood_SUB,dish,broth,3,1.0,2,5,0
SemEvalFood_SUB,dish,blue cheese dressing,3,1.0,1,2,1
SemEvalFood_SUB,course,tiramisu,3,1.0,2,3,0
SemEvalFood_SUB,course,appetizer,30,0.6666666666666666,2,5,0
SemEvalFood_SUB,course,meatball,6,0.0,1,3,1
SemEvalFood_SUB,course,entree,15,0.75,2,4,0
SemEvalFood_SUB,course,antipasto,9,0.5,2,5,0
SemEvalFood_SUB,course,succotash,3,1.0,1,2,1
SemEvalFood_SUB,course,crabapple jelly,3,1.0,1,3,1
SemEvalFood_SUB,course,dainty,3,1.0,1,2,1
SemEvalFood_SUB,course,gazpacho,3,1.0,1,2,1
SemEvalFood_SUB,course,"dessert (dessert, sweet)",33,0.3,2,4,0
SemEvalFood_SUB,course,soup,9,0.5,1,2,1
SemEvalFood_SUB,course,home fries,3,1.0,1,3,1
SemEvalFood_SUB,course,tamale pie,3,1.0,1,2,1
SemEvalFood_SUB,course,moo goo gai pan,3,1.0,1,2,1
SemEvalFood_SUB,course,crudites,6,0.0,1,2,0
SemEvalFood_SUB,"fare (fare, foodstuff, ingredient, nutriment)",tiramisu,2,1.0,2,10,0
SemEvalFood_SUB,"fare (fare, foodstuff, ingredient, nutriment)",jelly,6,1.0,2,13,0
SemEvalFood_SUB,"fare (fare, foodstuff, ingredient, nutriment)",green mayonnaise,2,1.0,2,9,0
SemEvalFood_SUB,"fare (fare, foodstuff, ingredient, nutriment)",appetizer,20,0.8888888888888888,2,9,0
