dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"course (course, dish)",sauce,2,1.0,1,1,1
SemEvalFood_SUB,"fare (fare, food, foodstuff)",flavorer,2,1.0,1,4,0
SemEvalFood_SUB,nutriment,"course (course, dish)",2,1.0,1,2,0
SemEvalFood_SUB,nutriment,meatball,1,1.0,1,3,0
SemEvalFood_SUB,nutriment,condiment,1,1.0,1,2,1
SemEvalFood_SUB,nutriment,sauce,1,1.0,1,2,1
SemEvalFood_SUB,nutriment,confiture,1,1.0,1,2,0
SemEvalFood_SUB,nutriment,sweet,1,1.0,1,4,0
SemEvalFood_SUB,nutriment,ingredient,1,1.0,1,3,1
SemEvalFood_SUB,nutriment,spread,1,1.0,1,2,1
SemEvalFood_SUB,nutriment,"fare (fare, food, foodstuff)",2,0.0,2,10,1
SemEvalFood_SUB,nutriment,relish,1,1.0,1,2,1
SemEvalFood_SUB,nutriment,"herb tea (herb tea, tisane)",1,1.0,1,1,0
