dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,7,1.0,2,4,0
WordNetFood_SUB,dish,lobster tart,3,1.0,2,5,1
WordNetFood_SUB,dish,sweet roll,6,1.0,2,4,1
WordNetFood_SUB,dish,chowder,6,1.0,1,2,0
WordNetFood_SUB,dish,clam chowder,3,1.0,1,2,0
WordNetFood_SUB,dish,sandwich,6,1.0,2,6,0
WordNetFood_SUB,dish,tart,6,1.0,2,5,1
WordNetFood_SUB,dish,applesauce cake,3,1.0,2,4,1
WordNetFood_SUB,dish,bread,12,0.6666666666666666,2,6,1
WordNetFood_SUB,dish,pie,6,1.0,2,6,1
WordNetFood_SUB,dish,soup,9,1.0,2,5,0
WordNetFood_SUB,dish,gyro,3,1.0,2,5,0
WordNetFood_SUB,dish,pudding,6,1.0,2,5,0
WordNetFood_SUB,dish,cake,6,1.0,2,7,1
WordNetFood_SUB,dish,cookie,6,1.0,1,3,1
WordNetFood_SUB,dish,pastry,33,1.0,2,6,1
WordNetFood_SUB,dish,jerky,6,1.0,1,3,1
WordNetFood_SUB,dish,beef jerky,3,1.0,1,3,1
WordNetFood_SUB,dish,cochon de lait,3,1.0,2,4,1
WordNetFood_SUB,dish,corn pudding,3,1.0,2,3,0
WordNetFood_SUB,dish,gingersnap,3,1.0,1,1,1
WordNetFood_SUB,dish,bear claw,3,1.0,1,1,1
WordNetFood_SUB,dish,course,45,0.8571428571428571,1,2,1
WordNetFood_SUB,dish,squash pie,3,1.0,1,2,1
WordNetFood_SUB,dish,chicken paprika,3,1.0,1,2,0
WordNetFood_SUB,dish,soul food,3,1.0,1,2,1
WordNetFood_SUB,"fare (fare, food, foodstuff)",lobster tart,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",beef jerky,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",lobster tail,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",rice,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",legume,4,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sweet roll,2,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",chowder,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",clam chowder,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",herb,2,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",salad green,3,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",beer,4,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",scampi,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sandwich,2,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",greens,4,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",ingredient,50,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",field pea,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",meat,11,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",produce,23,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pork,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",vegetable,9,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",dairy product,4,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",orange,3,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cheese,2,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",tart,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sauce,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",boysenberry,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",grain,3,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",jerky,2,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",berry,4,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",applesauce cake,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",concoction,15,0.9285714285714286,1,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pea flour,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",raspberry,1,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pale ale,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",bread,4,1.0,2,10,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",meal,3,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",flavorer,6,1.0,2,5,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",shellfish,5,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",condiment,3,1.0,2,11,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",bear claw,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",sweet orange,2,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",koumiss,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",edible fruit,12,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cut,3,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",dish,29,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pie,2,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",octopus,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",chocolate candy,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",navel orange,1,1.0,2,4,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cut of beef,1,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",pastry,11,1.0,2,8,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",anchovy sauce,1,1.0,2,7,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",cochon de lait,1,1.0,2,6,0
WordNetFood_SUB,"fare (fare, food, foodstuff)",snack food,15,1.0,2,10,0
