dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,movieseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,article,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,periodical,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,review,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,creativeworkseries,5,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,game,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,techarticle,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobjectsnapshot,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,comicseries,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,invoice,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,speakablespecification,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,radioseries,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,howtostep,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,recommendation,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,conversation,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,series,6,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,article,blogposting,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,article,howtostep,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,socialmediaposting,blogposting,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,time,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,offer,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,medicalintangible,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,ticket,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,medicalcode,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,game,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,datatype,time,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,datatype,enumeration,12,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,wearablemeasurementtypeenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,medicalcode,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,physicalactivitycategory,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,paymentservice,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,offer,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,service,taxiservice,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,service,radiobroadcastservice,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,service,legalservice,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,tieaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,createaction,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,findaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,eataction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,assignaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,cookaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,clip,movieclip,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,measurementtypeenumeration,wearablemeasurementtypeenumeration,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,movieseries,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,periodical,3,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativeworkseries,radioseries,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,comicseries,3,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,imageobject,imageobjectsnapshot,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,techarticle,howtostep,3,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,series,movieseries,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,series,radioseries,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,series,comicseries,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,series,creativeworkseries,10,0.75,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,surgicalprocedure,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,therapeuticprocedure,9,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,medicaltherapy,3,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,therapeuticprocedure,surgicalprocedure,4,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,therapeuticprocedure,medicaltherapy,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,surgicalprocedure,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,therapeuticprocedure,3,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,observation,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,medicalentity,medicalintangible,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,medicalcode,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,medicalprocedure,4,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,medicaltherapy,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,medicalorganization,2,0.0,1,1,1
LLMs4OL_SchemaOrg_SUB,localbusiness,lodgingbusiness,6,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,pharmacy,3,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,localbusiness,tenniscomplex,3,1.0,2,2,0
