dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
WordNetFood_SUB,tart,lobster tart,11,1.0,2,5,0
WordNetFood_SUB,pastry,lobster tart,9,1.0,1,2,0
WordNetFood_SUB,pastry,sweet roll,18,1.0,2,5,1
WordNetFood_SUB,pastry,tart,18,1.0,2,5,0
WordNetFood_SUB,pastry,gingersnap,9,1.0,2,4,1
WordNetFood_SUB,pastry,bear claw,9,1.0,2,4,1
WordNetFood_SUB,pastry,pie,36,1.0,2,5,0
WordNetFood_SUB,pastry,cookie,18,1.0,2,4,1
WordNetFood_SUB,pastry,squash pie,9,1.0,1,2,0
WordNetFood_SUB,pastry,bun,27,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",lobster tart,4,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",beef jerky,4,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",lobster tail,4,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",sweet roll,8,0.0,1,3,1
WordNetFood_SUB,"course (course, dish)",chowder,8,1.0,1,2,0
WordNetFood_SUB,"course (course, dish)",clam chowder,4,1.0,2,6,0
WordNetFood_SUB,"course (course, dish)",sandwich,8,1.0,2,5,0
WordNetFood_SUB,"course (course, dish)",tart,8,1.0,1,3,1
WordNetFood_SUB,"course (course, dish)",gingersnap,4,1.0,2,4,1
WordNetFood_SUB,"course (course, dish)",applesauce cake,4,1.0,2,5,1
WordNetFood_SUB,"course (course, dish)",concoction,76,0.3888888888888889,1,4,1
WordNetFood_SUB,"course (course, dish)",bread,16,0.3333333333333333,1,2,1
WordNetFood_SUB,"course (course, dish)",scampi,4,1.0,1,2,0
WordNetFood_SUB,"course (course, dish)",jerky,8,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",pie,16,1.0,2,6,1
WordNetFood_SUB,"course (course, dish)",soup,12,1.0,2,9,0
WordNetFood_SUB,"course (course, dish)",cookie,8,1.0,1,3,1
WordNetFood_SUB,"course (course, dish)",cake,8,1.0,1,6,1
WordNetFood_SUB,"course (course, dish)",pastry,40,0.7777777777777778,1,3,1
WordNetFood_SUB,"course (course, dish)",gyro,4,1.0,2,5,0
WordNetFood_SUB,"course (course, dish)",pudding,8,1.0,2,12,0
WordNetFood_SUB,"course (course, dish)",cochon de lait,4,1.0,1,3,1
WordNetFood_SUB,"course (course, dish)",snack food,92,0.6818181818181818,1,2,0
WordNetFood_SUB,"course (course, dish)",corn pudding,4,1.0,1,4,0
WordNetFood_SUB,"course (course, dish)",dessert,64,0.8,2,7,0
WordNetFood_SUB,"course (course, dish)",squash pie,4,1.0,1,2,1
WordNetFood_SUB,"course (course, dish)",chicken paprika,4,1.0,1,5,0
WordNetFood_SUB,food,lobster tart,1,1.0,2,3,0
WordNetFood_SUB,food,beef jerky,1,1.0,2,4,0
WordNetFood_SUB,food,lobster tail,1,1.0,2,3,0
WordNetFood_SUB,food,rice,2,1.0,2,3,0
WordNetFood_SUB,food,legume,4,1.0,2,3,0
WordNetFood_SUB,food,sweet roll,2,1.0,2,4,0
WordNetFood_SUB,food,chowder,2,1.0,2,3,0
WordNetFood_SUB,food,clam chowder,1,1.0,2,3,0
WordNetFood_SUB,food,"condiment (condiment, flavorer, herb)",4,1.0,2,8,0
WordNetFood_SUB,food,salad green,3,1.0,2,3,0
WordNetFood_SUB,food,scampi,1,1.0,2,3,0
WordNetFood_SUB,food,sandwich,2,1.0,2,3,0
WordNetFood_SUB,food,greens,4,1.0,2,3,0
WordNetFood_SUB,food,ingredient,60,1.0,1,3,0
WordNetFood_SUB,food,field pea,2,1.0,2,4,0
WordNetFood_SUB,food,meat,10,1.0,2,5,0
WordNetFood_SUB,food,produce,23,1.0,2,3,0
WordNetFood_SUB,food,pork,2,1.0,2,5,0
WordNetFood_SUB,food,vegetable,9,1.0,2,3,0
WordNetFood_SUB,food,dairy product,4,1.0,2,3,0
WordNetFood_SUB,food,orange,3,1.0,2,3,0
WordNetFood_SUB,food,cheese,2,1.0,2,4,0
WordNetFood_SUB,food,tart,2,1.0,2,4,0
WordNetFood_SUB,food,sauce,2,1.0,2,4,0
WordNetFood_SUB,food,gingersnap,1,1.0,2,3,0
WordNetFood_SUB,food,boysenberry,1,1.0,2,3,0
WordNetFood_SUB,food,grain,3,1.0,2,4,0
WordNetFood_SUB,food,jerky,2,1.0,2,3,0
WordNetFood_SUB,food,berry,4,1.0,2,4,0
WordNetFood_SUB,food,applesauce cake,1,1.0,2,3,0
WordNetFood_SUB,food,concoction,19,0.9444444444444444,1,4,0
WordNetFood_SUB,food,pea flour,1,1.0,2,3,0
WordNetFood_SUB,food,raspberry,1,1.0,2,3,0
WordNetFood_SUB,food,fare,83,0.9878048780487805,2,3,0
WordNetFood_SUB,food,bread,4,1.0,2,3,0
