dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,article,3,0.5,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,review,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,2,0.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,"creativeworkseries (creativeworkseries, series)",4,0.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,periodical,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,howtostep,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,game,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,recommendation,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,conversation,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,wearablemeasurementtypeenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,physicalactivitycategory,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,paymentservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,taxiservice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,service,legalservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,radiobroadcastservice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,tieaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,entrypoint,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,action,assignaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,createaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,eataction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,findaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,action,cookaction,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,clip,movieclip,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,article,blogposting,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,imageobject,imageobjectsnapshot,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,"creativeworkseries (creativeworkseries, series)",movieseries,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,"creativeworkseries (creativeworkseries, series)",radioseries,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,"creativeworkseries (creativeworkseries, series)",comicseries,2,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,medicalprocedure,surgicalprocedure,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,therapeuticprocedure,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,medicalprocedure,medicaltherapy,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,localbusiness,lodgingbusiness,6,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,bakery,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,entertainmentbusiness,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,foodestablishment,6,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,pharmacy,3,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,localbusiness,taxiservice,3,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,localbusiness,tenniscomplex,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,motel,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,exercisegym,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,localbusiness,zoo,3,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,localbusiness,emergencyservice,3,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,lodgingbusiness,motel,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,foodestablishment,bakery,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,invoice,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,intangible,offer,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,speakablespecification,1,1.0,1,1,0
