dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalScience_SUB,life sciences,botany,2,1.0,0,3,0
SemEvalScience_SUB,life sciences,zoology,2,1.0,0,3,0
SemEvalScience_SUB,life sciences,genetics,3,0.5,0,3,0
SemEvalScience_SUB,life sciences,cytology,2,1.0,0,3,0
SemEvalScience_SUB,life sciences,embryo and foetus,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,stem cell,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,microorganism,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,neurobiology,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,radiobiology,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,parasitology,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,pharmacology,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,ecology,1,1.0,0,3,0
SemEvalScience_SUB,life sciences,biometrics,1,1.0,0,1,1
SemEvalScience_SUB,life sciences,biochemistry,1,1.0,0,3,1
SemEvalScience_SUB,life sciences,biology,1,1.0,0,2,0
SemEvalScience_SUB,life sciences,eugenics,1,1.0,0,2,0
SemEvalScience_SUB,life sciences,histology,1,1.0,0,2,0
SemEvalScience_SUB,life sciences,plant taxonomy,1,1.0,0,2,0
SemEvalScience_SUB,life sciences,animal taxonomy,1,1.0,0,2,0
SemEvalScience_SUB,botany,plant taxonomy,2,1.0,0,1,0
SemEvalScience_SUB,zoology,animal taxonomy,2,1.0,0,1,0
SemEvalScience_SUB,genetics,dna,2,1.0,0,1,0
SemEvalScience_SUB,genetics,eugenics,2,1.0,0,1,0
SemEvalScience_SUB,cytology,histology,2,1.0,0,1,1
SemEvalScience_SUB,chemistry,biochemistry,2,1.0,0,1,0
SemEvalScience_SUB,applied sciences,industrial chemistry,1,1.0,0,2,0
SemEvalScience_SUB,applied sciences,information science,1,1.0,0,2,0
SemEvalScience_SUB,applied sciences,administrative science,1,1.0,0,2,1
SemEvalScience_SUB,physical sciences,analytical chemistry,1,1.0,0,4,0
SemEvalScience_SUB,physical sciences,electrochemistry,1,1.0,0,4,0
SemEvalScience_SUB,physical sciences,photochemistry,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,chemistry,2,1.0,0,2,0
SemEvalScience_SUB,physical sciences,acoustics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,aerodynamics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,laser physics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,nuclear physics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,optics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,plasma physics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,thermodynamics,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,space science,2,0.0,0,2,1
SemEvalScience_SUB,physical sciences,astronomy,1,1.0,0,2,1
SemEvalScience_SUB,physical sciences,cosmology,1,1.0,0,2,1
SemEvalScience_SUB,physical sciences,spectrometry,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,biochemistry,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,enzyme,1,1.0,0,2,0
SemEvalScience_SUB,physical sciences,ionising radiation,1,1.0,0,2,0
SemEvalScience_SUB,world history,ancient history,1,1.0,0,2,1
SemEvalScience_SUB,world history,medieval history,1,1.0,0,2,1
SemEvalScience_SUB,world history,modern history,1,1.0,0,2,1
SemEvalScience_SUB,world history,contemporary history,1,1.0,0,2,1
SemEvalScience_SUB,world history,prehistory,1,1.0,0,2,1
SemEvalScience_SUB,world history,historical figure,1,1.0,0,2,1
SemEvalScience_SUB,linguistics,bilingualism,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,multilingualism,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,language policy,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,living language,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,european language,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,minority language,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,non-european language,1,1.0,0,1,0
SemEvalScience_SUB,linguistics,regional language,1,1.0,0,1,0
SemEvalScience_SUB,science,philosophy of science,1,1.0,0,2,0
SemEvalScience_SUB,social sciences,industrial sociology,1,1.0,0,4,0
SemEvalScience_SUB,social sciences,political sociology,1,1.0,0,4,0
SemEvalScience_SUB,social sciences,rural sociology,1,1.0,0,4,0
SemEvalScience_SUB,social sciences,sociology of education,1,1.0,0,4,0
SemEvalScience_SUB,social sciences,urban sociology,1,1.0,0,4,0
SemEvalScience_SUB,social sciences,sociology,1,1.0,0,2,0
SemEvalScience_SUB,social sciences,economics,1,1.0,0,2,0
SemEvalScience_SUB,social sciences,political science,1,1.0,0,2,0
SemEvalScience_SUB,social sciences,geopolitics,1,1.0,0,2,0
SemEvalScience_SUB,social sciences,behavioural sciences,6,0.2,0,2,1
SemEvalScience_SUB,social sciences,psychology,1,1.0,0,2,1
SemEvalScience_SUB,social sciences,criminology,1,1.0,0,2,1
SemEvalScience_SUB,space science,astronautics,2,1.0,0,2,0
SemEvalScience_SUB,behavioural sciences,psychology,2,1.0,0,2,0
SemEvalScience_SUB,behavioural sciences,psychoanalysis,2,1.0,0,2,0
SemEvalScience_SUB,behavioural sciences,psychometric test,2,1.0,0,2,0
SemEvalScience_SUB,behavioural sciences,personality,2,1.0,0,2,0
SemEvalScience_SUB,behavioural sciences,sexuality,2,1.0,0,2,0
SemEvalScience_SUB,philosophy,philosophy of science,1,1.0,0,2,0
