scope,type,count,total_fps,proportion,justification_1,justification_2,justification_3
POOLED,is_a,377,537,0.702,"[WordNetFood_SUB] tart under dish: A tart is a specific kind of prepared food item, and therefore every tart is a type of dish.","[CellOntology_SUB] cerebral cortex glial cell under nucleate cell: A cerebral cortex glial cell is a type of cell that possesses a nucleus, and therefore every instance of a cerebral cortex glial cell is also an instance of a nucleate cell.","[SemEvalFood_SUB] groats under fare: 'Fare' is a general term for food or a range of food provided, and since 'groats' are a type of food, every instance of groats is a type of fare."
POOLED,is_a_inverted,1,537,0.0019,"[CellOntology_SUB] brain macroglial cell under cerebral cortex glial cell: A 'brain macroglial cell' is a general type of cell found throughout the brain, whereas a 'cerebral cortex glial cell' is a glial cell specifically located in the cerebral cortex; therefore, the latter is a subtype of the former.",,
POOLED,part_of,40,537,0.0745,"[WordNetFood_SUB] bun under dish: A bun is a type of bread or baked good that can be used as a component of a dish (like a burger or sandwich), but it is not a type of ""dish"" itself.","[SemEvalFood_SUB] fennel seed under herb: A fennel seed is a component part of the fennel plant (which is the herb), not a type of herb itself.","[LLMs4OL_PO_SUB] terminal strobilus bud under shoot axis apex: A terminal strobilus bud is a specialized structure located at the tip (apex) of a shoot axis, making it a component or region of that apex rather than a type of apex."
POOLED,has_part,3,537,0.0056,"[LLMs4OL_OBI_SUB] clinical history under measurement datum: A clinical history is a comprehensive record containing various data points, whereas a measurement datum is a single specific value; therefore, a measurement datum is a component part of a clinical history.","[LLMs4OL_PO_SUB] multi-tissue plant structure under portion of plant tissue: A 'multi-tissue plant structure' (like an organ) is composed of various tissues, meaning it is a complex entity that contains 'portions of plant tissue' as its building blocks.","[LLMs4OL_MatOnto_SUB] imine under organic group: An imine is a type of organic compound, but the ""imine group"" (the functional group) is a kind of organic group; since 'imine' here refers to the chemical species/compound, it is not a subclass of a functional group, but rather contains one."
POOLED,instance_of,2,537,0.0037,"[LLMs4OL_OBI_SUB] organism detection assay under realizable entity: An 'organism detection assay' is a specific type of process or procedure, whereas a 'realizable entity' (especially given its children like 'role') typically refers to a conceptual entity that can be instantiated, making the assay an instance or a specific realization of such an entity rather than a","[LLMs4OL_MatOnto_SUB] xenon under periodic table element: Xenon is a specific chemical element, making it a unique individual instance of the class of periodic table elements.",
POOLED,attribute_of,9,537,0.0168,"[LLMs4OL_OBI_SUB] adjuvant role under continuant (continuant, independent continuant): An 'adjuvant role' is a functional role that is played by a continuant (such as a chemical or device), but a role itself is a realizable entity, not a kind of continuant.","[LLMs4OL_SchemaOrg_SUB] governmentbenefitstype under intangible: A 'governmentbenefitstype' is a category or classification (an enumeration) used to describe a benefit, and while it is conceptually non-physical, it is not a ""kind of"" intangible entity in a taxonomic sense, but rather a metadata attribute used to describe one.","[LLMs4OL_MatOnto_SUB] moleculecomponentcount under independent_continuant (independent_continuant, object): A 'moleculecomponentcount' is a measurement or quality (a dependent continuant) that describes a property of a molecule, whereas an 'independent_continuant' is a standalone entity (like an atom or object); therefore, the count is an attribute of the entity it measures."
POOLED,made_of,10,537,0.0186,"[WordNetFood_SUB] dough under starches: Dough is not a type of starch, but rather a mixture primarily composed of starches (like flour).","[SemEvalFood_SUB] cocktail under liquor: A cocktail is not a type of liquor, but rather a drink made using liquor as a primary ingredient.","[LLMs4OL_PO_SUB] root parenchyma under parenchyma cell: 'Root parenchyma' refers to a tissue (a collection of cells) located in the root, whereas 'parenchyma cell' refers to the individual cellular unit that constitutes such tissue."
POOLED,located_in,7,537,0.013,"[CellOntology_SUB] astrocyte under cerebral cortex glial cell: An astrocyte is a general type of glial cell found throughout the central nervous system, whereas a cerebral cortex glial cell is a glial cell specifically located in the cerebral cortex; therefore, not every astrocyte is a cerebral cortex glial cell.","[LLMs4OL_PO_SUB] axil under multi-tissue plant structure: An axil is the angle or region between the upper side of a leaf (or stem) and the supporting stem, making it a specific location or region within the plant's structure rather than a type of multi-tissue structure itself.","[LLMs4OL_SchemaOrg_SUB] governmentbuilding under organization: A government building is a physical structure used by an organization, not a type of organization itself."
POOLED,derives_from,4,537,0.0074,[CellOntology_SUB] neurecto-epithelial cell under neural cell: Neurecto-epithelial cells are the progenitor cells from which the neural lineage (including neural cells) originates during embryonic development.,"[LLMs4OL_PO_SUB] plant callus under portion of meristem tissue: A plant callus is an unorganized mass of parenchyma cells that often develops from meristematic activity or dedifferentiation, but it is not a type of meristem tissue itself.","[CellOntology_SUB] precursor cell under nucleate cell: A precursor cell is a cell that develops into a more specialized cell type, and while it may be nucleate, the primary relationship is one of developmental origin rather than a taxonomic classification of ""nucleate cell"" as its defining genus."
POOLED,other_related,68,537,0.1266,"[WordNetFood_SUB] chocolate under dessert: While chocolate is often served as a dessert, it is a food substance/ingredient that can be used in many non-dessert contexts (e.g., savory moles), meaning not every instance of chocolate is a dessert.","[CellOntology_SUB] glial cell under electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell): While some glial cells exhibit electrical properties (like calcium waves), they are fundamentally defined by their support role and lack the specialized action-potential-generating machinery that defines the class of electrically active cells (primarily neurons).","[SemEvalFood_SUB] sugar water under dessert (dessert, sweet): Sugar water is a liquid mixture that may be used as an ingredient or a simple sweet treat, but it is not a type of dessert in the way that cake or jelly is."
POOLED,unrelated,16,537,0.0298,"[WordNetFood_SUB] diet (diet, fare, food, foodstuff, ingredient, meal, nutriment) under course: A diet (a specific regime of food) is not a type of course (a specific stage of a meal), nor is a course a type of diet; they are distinct concepts within the domain of food.","[CellOntology_SUB] vascular leptomeningeal cell under glial cell: Vascular leptomeningeal cells are specialized fibroblast-like cells of the meninges (mesenchymal origin), whereas glial cells are neuroectodermal cells; they are distinct cell lineages that both support the nervous system but do not share a subsumption relationship.","[SemEvalFood_SUB] gazpacho under fodder: Gazpacho is a cold soup for human consumption, whereas fodder is bulk food specifically for livestock, making them distinct categories of food."
CellOntology_SUB,is_a,44,54,0.8148,"[CellOntology_SUB] cerebral cortex glial cell under nucleate cell: A cerebral cortex glial cell is a type of cell that possesses a nucleus, and therefore every instance of a cerebral cortex glial cell is also an instance of a nucleate cell.","[CellOntology_SUB] superior cervical ganglion thnpy neuron under nucleate cell: A 'superior cervical ganglion thnpy neuron' is a type of neuron, and since all neurons are cells that possess a nucleus, it is by definition a nucleate cell.","[CellOntology_SUB] central nervous system neuron under nucleate cell: A central nervous system neuron is a type of cell that possesses a nucleus, making it a member of the class of nucleate cells."
CellOntology_SUB,is_a_inverted,1,54,0.0185,"[CellOntology_SUB] brain macroglial cell under cerebral cortex glial cell: A 'brain macroglial cell' is a general type of cell found throughout the brain, whereas a 'cerebral cortex glial cell' is a glial cell specifically located in the cerebral cortex; therefore, the latter is a subtype of the former.",,
CellOntology_SUB,located_in,1,54,0.0185,"[CellOntology_SUB] astrocyte under cerebral cortex glial cell: An astrocyte is a general type of glial cell found throughout the central nervous system, whereas a cerebral cortex glial cell is a glial cell specifically located in the cerebral cortex; therefore, not every astrocyte is a cerebral cortex glial cell.",,
CellOntology_SUB,derives_from,3,54,0.0556,[CellOntology_SUB] neurecto-epithelial cell under neural cell: Neurecto-epithelial cells are the progenitor cells from which the neural lineage (including neural cells) originates during embryonic development.,"[CellOntology_SUB] precursor cell under nucleate cell: A precursor cell is a cell that develops into a more specialized cell type, and while it may be nucleate, the primary relationship is one of developmental origin rather than a taxonomic classification of ""nucleate cell"" as its defining genus.","[CellOntology_SUB] peripheral sensory neuron under neural crest derived neuron: While many peripheral sensory neurons (such as those in the dorsal root ganglia) are derived from the neural crest, the relationship is fundamentally one of developmental origin rather than a taxonomic ""is-a"" classification, as ""neural crest derived"" describes the lineage of the cell."
CellOntology_SUB,other_related,4,54,0.0741,"[CellOntology_SUB] glial cell under electrically active cell (electrically active cell, electrically responsive cell, electrically signaling cell): While some glial cells exhibit electrical properties (like calcium waves), they are fundamentally defined by their support role and lack the specialized action-potential-generating machinery that defines the class of electrically active cells (primarily neurons).","[CellOntology_SUB] cholangiocyte under secretory epithelial cell: While some specialized cholangiocytes (like the large mucus-secreting type) are secretory, the general class of cholangiocytes consists primarily of cells involved in transport and ductal lining, not all of which are classified as secretory epithelial cells.","[CellOntology_SUB] motile cell under nucleate cell: Not every motile cell is nucleate (e.g., some prokaryotic motile cells lack a nucleus), and not every nucleate cell is motile."
CellOntology_SUB,unrelated,1,54,0.0185,"[CellOntology_SUB] vascular leptomeningeal cell under glial cell: Vascular leptomeningeal cells are specialized fibroblast-like cells of the meninges (mesenchymal origin), whereas glial cells are neuroectodermal cells; they are distinct cell lineages that both support the nervous system but do not share a subsumption relationship.",,
LLMs4OL_MatOnto_SUB,is_a,78,93,0.8387,"[LLMs4OL_MatOnto_SUB] unit raised to power of three under derivedunit: A unit raised to the power of three (such as a cubic meter) is a specific type of derived unit, as it is formed by combining base units through multiplication.","[LLMs4OL_MatOnto_SUB] molybdenum under continuant: In Basic Formal Ontology (BFO), a 'continuant' is an entity that persists through time, and since molybdenum (as a chemical element/substance) is a type of material entity, it is by definition a continuant.","[LLMs4OL_MatOnto_SUB] fullerene under continuant: In Basic Formal Ontology (BFO), a continuant is an entity that persists through time, and since a fullerene is a physical object (a carbon allotrope), it is a type of continuant."
LLMs4OL_MatOnto_SUB,part_of,2,93,0.0215,"[LLMs4OL_MatOnto_SUB] organic group under chemical class: An organic group (such as a methyl or hydroxyl group) is a structural component or a part of a chemical class (such as an alcohol or alkane), rather than a type of chemical class itself.","[LLMs4OL_MatOnto_SUB] chiral center under site: A chiral center is a specific location or region within a molecule that possesses chirality, making it a part of the molecular site rather than a type of site.",
LLMs4OL_MatOnto_SUB,has_part,1,93,0.0108,"[LLMs4OL_MatOnto_SUB] imine under organic group: An imine is a type of organic compound, but the ""imine group"" (the functional group) is a kind of organic group; since 'imine' here refers to the chemical species/compound, it is not a subclass of a functional group, but rather contains one.",,
LLMs4OL_MatOnto_SUB,instance_of,1,93,0.0108,"[LLMs4OL_MatOnto_SUB] xenon under periodic table element: Xenon is a specific chemical element, making it a unique individual instance of the class of periodic table elements.",,
LLMs4OL_MatOnto_SUB,attribute_of,5,93,0.0538,"[LLMs4OL_MatOnto_SUB] moleculecomponentcount under independent_continuant (independent_continuant, object): A 'moleculecomponentcount' is a measurement or quality (a dependent continuant) that describes a property of a molecule, whereas an 'independent_continuant' is a standalone entity (like an atom or object); therefore, the count is an attribute of the entity it measures.","[LLMs4OL_MatOnto_SUB] p-block element under chemical class: A 'p-block element' is a specific type of chemical element, and while it belongs to a chemical category, 'chemical class' (defined here as a quality or dependent continuant) refers to a property or classification rather than the physical substance itself.","[LLMs4OL_MatOnto_SUB] radiation under independent_continuant (independent_continuant, object): Radiation is a phenomenon or quality (a dependent continuant) rather than a self-subsisting entity (an independent continuant), making it an attribute or property of the physical systems that emit it."
LLMs4OL_MatOnto_SUB,made_of,1,93,0.0108,"[LLMs4OL_MatOnto_SUB] p-block element under material: A p-block element is a type of chemical element, and chemical elements are the fundamental substances that constitute all materials.",,
LLMs4OL_MatOnto_SUB,located_in,1,93,0.0108,"[LLMs4OL_MatOnto_SUB] site under dependent_continuant: A 'site' (a specific location or region) is a spatial area within a larger entity, whereas a 'dependent continuant' is a quality or property that cannot exist without a bearer; therefore, a site is not a type of dependent continuant, but rather a location where such things may be found.",,
LLMs4OL_MatOnto_SUB,other_related,1,93,0.0108,"[LLMs4OL_MatOnto_SUB] hardness range under intensive property: A 'hardness range' is a specification or measurement interval of a property, not a type of intensive property itself.",,
LLMs4OL_MatOnto_SUB,unrelated,3,93,0.0323,"[LLMs4OL_MatOnto_SUB] promethium under p-block element: Promethium is a lanthanide and therefore an f-block element, not a p-block element.","[LLMs4OL_MatOnto_SUB] electric current unit under derivedunit: The Ampere (the standard electric current unit) is a base unit, not a derived unit, meaning an electric current unit is not a kind of derived unit.","[LLMs4OL_MatOnto_SUB] magnesium under p-block element: Magnesium is an s-block element, not a p-block element, so it does not belong to that category."
LLMs4OL_OBI_SUB,is_a,76,99,0.7677,"[LLMs4OL_OBI_SUB] venous blood thyroid stimulating hormone assay under realizable entity: An assay is a type of planned process, and in many biomedical ontologies (such as BFO), a planned process is a subclass of a realizable entity.","[LLMs4OL_OBI_SUB] ceruloplasmin under molecular entity: Ceruloplasmin is a specific type of protein, and since all proteins are molecular entities, every instance of ceruloplasmin is necessarily an instance of a molecular entity.","[LLMs4OL_OBI_SUB] protein expression profiling assay under realizable entity: In many biomedical ontologies (like BFO), a 'realizable entity' is a disposition or plan that can be carried out, and since a 'protein expression profiling assay' is a type of planned process/assay that is realized through execution, it is a kind of realizable entity."
LLMs4OL_OBI_SUB,has_part,1,99,0.0101,"[LLMs4OL_OBI_SUB] clinical history under measurement datum: A clinical history is a comprehensive record containing various data points, whereas a measurement datum is a single specific value; therefore, a measurement datum is a component part of a clinical history.",,
LLMs4OL_OBI_SUB,instance_of,1,99,0.0101,"[LLMs4OL_OBI_SUB] organism detection assay under realizable entity: An 'organism detection assay' is a specific type of process or procedure, whereas a 'realizable entity' (especially given its children like 'role') typically refers to a conceptual entity that can be instantiated, making the assay an instance or a specific realization of such an entity rather than a",,
LLMs4OL_OBI_SUB,attribute_of,3,99,0.0303,"[LLMs4OL_OBI_SUB] adjuvant role under continuant (continuant, independent continuant): An 'adjuvant role' is a functional role that is played by a continuant (such as a chemical or device), but a role itself is a realizable entity, not a kind of continuant.","[LLMs4OL_OBI_SUB] connection function under continuant (continuant, independent continuant): A 'connection function' is a process or role (an occurrent) that describes how a 'continuant' (an object or entity) operates, rather than being a type of object itself.","[LLMs4OL_OBI_SUB] accessed material role under continuant (continuant, independent continuant): A role is not a kind of continuant, but rather a quality or function that is borne by a continuant (the entity playing the role)."
LLMs4OL_OBI_SUB,other_related,13,99,0.1313,"[LLMs4OL_OBI_SUB] material combination under material entity: A 'material combination' is a process or a result of combining materials, whereas a 'material entity' is a physical object; a combination is not a type of entity, but rather something that involves or results in material entities.","[LLMs4OL_OBI_SUB] protein expression profiling assay under assay array (assay array, microarray): A 'protein expression profiling assay' is a procedure (process) that may utilize an 'assay array' (a physical device/material entity) as a tool, but a process is not a kind of physical device.","[LLMs4OL_OBI_SUB] specimen collection process under realizable entity: In biomedical ontologies (such as BFO), a 'realizable entity' is a disposition or role that can be instantiated as a process, meaning a 'specimen collection process' is the actualization of a realizable entity rather than a type of one."
