dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,6,1.0,2,3,0
SemEvalFood_SUB,dessert,hard sauce,6,1.0,1,2,1
SemEvalFood_SUB,dessert,crabapple jelly,6,1.0,1,2,1
SemEvalFood_SUB,dessert,hard candy,6,1.0,1,2,1
SemEvalFood_SUB,dessert,candy,12,1.0,1,2,1
SemEvalFood_SUB,dessert,flatbrod,6,1.0,1,2,1
SemEvalFood_SUB,sweet,tiramisu,4,1.0,2,4,1
SemEvalFood_SUB,sweet,jelly,12,1.0,1,3,0
SemEvalFood_SUB,sweet,candy,8,1.0,2,5,0
SemEvalFood_SUB,sweet,hard candy,4,1.0,2,6,0
SemEvalFood_SUB,sweet,confiture,12,1.0,2,5,0
SemEvalFood_SUB,sweet,sugar water,4,1.0,2,6,1
SemEvalFood_SUB,sweet,apple jelly,8,1.0,1,3,0
SemEvalFood_SUB,sweet,crabapple jelly,4,1.0,2,5,0
SemEvalFood_SUB,sweet,dessert,28,0.8333333333333334,1,3,1
SemEvalFood_SUB,sweet,hard sauce,4,1.0,1,2,1
SemEvalFood_SUB,dish,tiramisu,2,1.0,2,3,1
SemEvalFood_SUB,dish,appetizer,10,0.75,2,5,1
SemEvalFood_SUB,dish,meatball,4,1.0,2,5,0
SemEvalFood_SUB,dish,bannock,2,1.0,2,5,1
SemEvalFood_SUB,dish,entree,8,1.0,2,4,1
SemEvalFood_SUB,dish,scampi,2,1.0,2,3,0
SemEvalFood_SUB,dish,antipasto,6,0.5,2,5,1
SemEvalFood_SUB,dish,spread,22,0.1,1,3,1
SemEvalFood_SUB,dish,succotash,2,1.0,2,4,0
SemEvalFood_SUB,dish,dainty,2,1.0,1,3,1
SemEvalFood_SUB,dish,bread,16,0.5714285714285714,1,2,1
SemEvalFood_SUB,dish,gazpacho,2,1.0,2,5,0
SemEvalFood_SUB,dish,flatbread,6,1.0,1,2,1
SemEvalFood_SUB,dish,dessert,14,0.3333333333333333,2,4,1
SemEvalFood_SUB,dish,soup,6,1.0,2,4,0
SemEvalFood_SUB,dish,home fries,2,1.0,2,4,1
SemEvalFood_SUB,dish,mashed potato,2,1.0,2,4,1
SemEvalFood_SUB,dish,tamale pie,2,1.0,2,4,0
SemEvalFood_SUB,dish,moo goo gai pan,2,1.0,2,5,0
SemEvalFood_SUB,dish,crudites,4,0.0,2,4,1
SemEvalFood_SUB,dish,popcorn,2,1.0,1,3,1
SemEvalFood_SUB,dish,course,42,0.75,1,3,1
SemEvalFood_SUB,dish,porcupine ball,2,1.0,1,3,0
SemEvalFood_SUB,dish,confiture,6,0.0,1,2,1
SemEvalFood_SUB,dish,"chow (chow, eatage, food, foodstuff, meal, nutriment)",182,0.3,1,2,1
SemEvalFood_SUB,dish,baguet,2,1.0,1,2,1
SemEvalFood_SUB,dish,broth,2,1.0,1,2,0
SemEvalFood_SUB,dish,flatbrod,2,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, eatage, food, foodstuff, meal, nutriment)",tiramisu,3,1.0,2,7,0
SemEvalFood_SUB,"chow (chow, eatage, food, foodstuff, meal, nutriment)",jelly,9,1.0,2,12,0
SemEvalFood_SUB,"chow (chow, eatage, food, foodstuff, meal, nutriment)",green mayonnaise,3,1.0,2,13,0
