dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,6,1.0,2,5,0
SemEvalFood_SUB,dessert,hard candy,6,1.0,1,1,1
SemEvalFood_SUB,dessert,candy,12,1.0,1,2,1
SemEvalFood_SUB,dish,tiramisu,3,1.0,2,5,1
SemEvalFood_SUB,dish,appetizer,12,1.0,2,4,1
SemEvalFood_SUB,dish,meatball,6,1.0,2,5,0
SemEvalFood_SUB,dish,bannock,3,1.0,2,5,1
SemEvalFood_SUB,dish,entree,9,1.0,2,5,1
SemEvalFood_SUB,dish,scampi,3,1.0,2,5,0
SemEvalFood_SUB,dish,antipasto,9,1.0,2,5,1
SemEvalFood_SUB,dish,succotash,3,1.0,2,5,0
SemEvalFood_SUB,dish,crabapple jelly,3,1.0,2,5,1
SemEvalFood_SUB,dish,dainty,3,1.0,1,2,1
SemEvalFood_SUB,dish,gazpacho,3,1.0,2,5,0
SemEvalFood_SUB,dish,"flatbread (flatbread, flatbrod)",6,1.0,2,6,1
SemEvalFood_SUB,dish,relish,6,0.0,1,2,1
SemEvalFood_SUB,dish,dessert,12,0.3333333333333333,2,6,1
SemEvalFood_SUB,dish,soup,12,0.6666666666666666,2,6,0
SemEvalFood_SUB,dish,french bread,6,0.0,1,3,1
SemEvalFood_SUB,dish,bread,21,0.6666666666666666,1,2,1
SemEvalFood_SUB,dish,home fries,3,1.0,2,5,1
SemEvalFood_SUB,dish,mashed potato,3,1.0,2,5,1
SemEvalFood_SUB,dish,tamale pie,3,1.0,2,5,0
SemEvalFood_SUB,dish,moo goo gai pan,3,1.0,2,6,0
SemEvalFood_SUB,dish,crudites,6,1.0,2,5,1
SemEvalFood_SUB,dish,popcorn,3,1.0,2,5,1
SemEvalFood_SUB,dish,apple jelly,6,1.0,1,3,1
SemEvalFood_SUB,dish,porcupine ball,3,1.0,2,4,0
SemEvalFood_SUB,dish,celery stick,3,1.0,1,3,1
SemEvalFood_SUB,dish,broth,3,1.0,1,2,0
SemEvalFood_SUB,dish,bap,3,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",tiramisu,2,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",jelly,6,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",green mayonnaise,2,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",appetizer,8,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",meatball,4,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",bannock,2,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",entree,6,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",dressing,10,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",herb,8,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",curd,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",sweet,20,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",scampi,2,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",hard sauce,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",potato,2,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",buckwheat,2,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",fennel seed,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",antipasto,6,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",ingredient,90,1.0,2,11,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",dairy product,8,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",corn,4,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",sauce,24,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",nut butter,2,1.0,2,13,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",spread,20,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",grain,10,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",succotash,2,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",crabapple jelly,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",ravigote,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",dainty,2,1.0,1,8,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",taco sauce,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",groats,2,1.0,2,14,0
SemEvalFood_SUB,"chow (chow, eatage, fare, food, foodstuff)",bread,14,1.0,2,15,0
