dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_PO_SUB,fruit pedicel,infructescence fruit pedicel,2,1.0,2,2,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",infructescence fruit pedicel,1,1.0,2,7,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",shoot system,7,1.0,2,10,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",tuber pith,1,1.0,2,4,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",plant axis differentiation zone,3,1.0,2,6,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",style epidermis,1,1.0,1,2,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",lateral root cap of primary root,1,1.0,2,5,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",lateral root cap of lateral root,2,1.0,2,5,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",plant ovary wall middle layer,1,1.0,2,6,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",shoot internode differentiation zone,2,1.0,2,5,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",tuber storage parenchyma,2,1.0,2,4,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",axil,1,1.0,2,4,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",root parenchyma,1,1.0,2,4,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",vascular leaf,3,1.0,2,11,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",portion of meristem tissue,10,1.0,2,4,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)","chlorenchyma cell (chlorenchyma cell, mesophyll cell)",2,1.0,2,6,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",seed coat epidermis,1,1.0,2,4,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",adult vascular leaf,2,1.0,2,7,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",floral organ abscission zone,1,1.0,2,5,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",plant gamete,4,1.0,2,4,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",plant sperm cell,1,1.0,2,6,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)","cardinal organ part (cardinal organ part, cardinal part of multi-tissue plant structure)",8,1.0,2,9,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",basal root,1,1.0,2,9,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",subterranean tuber axillary shoot,1,1.0,2,11,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",pith,2,1.0,2,6,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",shoot-borne internode root,1,1.0,2,11,1
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",central root cap,2,1.0,2,6,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",plant epidermis,14,1.0,2,6,0
LLMs4OL_PO_SUB,"flower (flower, multi-tissue plant structure, plant anatomical entity, plant organ, plant structure)",lateral meristem,4,1.0,2,4,0
