dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,dessert,tiramisu,3,1.0,1,2,0
SemEvalFood_SUB,dessert,crabapple jelly,3,1.0,1,2,1
SemEvalFood_SUB,dessert,hard candy,3,1.0,1,2,1
SemEvalFood_SUB,sweet,tiramisu,2,1.0,1,2,1
SemEvalFood_SUB,sweet,hard sauce,2,1.0,1,2,1
SemEvalFood_SUB,sweet,crabapple jelly,2,1.0,1,2,0
SemEvalFood_SUB,sweet,hard candy,2,1.0,1,2,0
SemEvalFood_SUB,sweet,apple jelly,4,1.0,1,2,0
SemEvalFood_SUB,sweet,conserve,10,0.75,1,2,0
SemEvalFood_SUB,sweet,candy,4,1.0,1,2,0
SemEvalFood_SUB,sweet,confiture,6,1.0,1,2,0
SemEvalFood_SUB,sweet,dessert,8,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",tiramisu,1,1.0,1,10,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",appetizer,3,1.0,1,12,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",meatball,2,1.0,1,10,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",bannock,1,1.0,1,9,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",entree,3,1.0,1,12,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",scampi,1,1.0,1,8,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",antipasto,1,1.0,1,12,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",succotash,1,1.0,1,11,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",dainty,1,1.0,1,14,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",bread,8,1.0,1,14,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",french bread,2,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",gazpacho,1,1.0,1,10,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",flatbread,3,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",popcorn,1,1.0,1,10,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",conserve,5,1.0,1,8,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",porcupine ball,1,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",soup,3,1.0,1,11,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",home fries,1,1.0,1,15,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",mashed potato,1,1.0,1,10,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",dessert,4,1.0,1,12,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",tamale pie,1,1.0,1,13,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",moo goo gai pan,1,1.0,1,16,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",crudites,1,1.0,1,14,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",broth,1,1.0,1,8,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",jelly,4,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",green mayonnaise,1,1.0,1,4,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",dressing,4,1.0,1,4,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",herb,6,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",curd,1,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",sweet,11,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",hard sauce,1,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",potato,2,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",buckwheat,1,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",fennel seed,1,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",ingredient,43,1.0,1,4,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",dairy product,4,1.0,1,5,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",corn,2,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",sauce,11,1.0,1,5,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",nut butter,1,1.0,1,6,0
SemEvalFood_SUB,"chow (chow, course, dish, eatage, fare, food, foodstuff, meal, nutriment)",spread,12,1.0,1,5,0
