dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,socialmediaposting,blogposting,3,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,article,blogposting,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,article,socialmediaposting,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,article,ampstory,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,movieseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,article,5,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,periodical,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,review,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,radioseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,howtostep,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,creativeworkseries,5,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,game,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,recommendation,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,imageobject,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,techarticle,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,collection,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobjectsnapshot,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,conversation,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,comicseries,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,datatype,time,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,4,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,paymentmethod,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,wearablemeasurementtypeenumeration,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,physicalactivitycategory,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,sizegroupenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,adultorientedenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,paymentservice,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,measurementtypeenumeration,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,movieseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,enumeration,12,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,invoice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,periodical,2,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,offer,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,speakablespecification,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,observation,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,radioseries,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,governmentbenefitstype,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,howtostep,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,entrypoint,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,peopleaudience,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,certificationstatusenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,radiobroadcastservice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,audience,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,constraintnode,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,listitem,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,itemlistordertype,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,service,5,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,measurementmethodenum,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,sizesystemenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,paymentmethod,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,itemlist,2,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,wearablemeasurementtypeenumeration,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,physicalactivitycategory,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,seat,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,comicseries,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,series,6,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,broadcastservice,2,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,taxiservice,1,1.0,2,2,0
