dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",climate change policy,4,1.0,2,6,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",clean development mechanism,1,1.0,2,5,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)","emission allowance (emission allowance, tradeable emission permit)",1,1.0,2,11,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",emission trading,1,1.0,2,6,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",environmental tax,2,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",deposit on a polluting product,1,1.0,2,5,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",coastal protection,1,1.0,2,16,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",conservation of resources,4,1.0,2,10,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",countryside conservation,1,1.0,2,8,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)","protection of animal life (protection of animal life, protection of animals)",2,1.0,2,20,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",protection of plant life,1,1.0,2,10,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",hunting regulations,1,1.0,2,7,0
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",pollution control measures,15,0.8571428571428571,2,13,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",waste management,4,0.6666666666666666,2,5,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",prevention of pollution,4,0.6666666666666666,2,15,1
SemEvalEnvironment_SUB,"environmental policy (environmental policy, environmental protection, risk prevention)",economic instrument for the environment,7,1.0,1,2,0
