dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_SchemaOrg_SUB,socialmediaposting,blogposting,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,article,techarticle,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,creativework,conversation,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,sculpture,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,creativework,recommendation,1,1.0,1,1,1
LLMs4OL_SchemaOrg_SUB,creativework,itemlist,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,game,1,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativework,radioseries,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,creativework,series,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,creativeworkseries,4,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,ampstory,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,imageobjectsnapshot,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,creativework,sheetmusic,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,creativework,article,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,creativework,clip,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,creativework,socialmediaposting,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,review,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,creativework,comicseries,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,creativework,movieclip,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,creativework,periodical,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,creativework,shortstory,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,creativework,techarticle,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,creativework,movieseries,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,creativework,howtostep,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,creativework,blogposting,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,intangible,enumeration,12,0.36363636363636365,1,1,1
LLMs4OL_SchemaOrg_SUB,intangible,medicalintangible,2,0.0,2,4,1
LLMs4OL_SchemaOrg_SUB,intangible,listitem,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,audience,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,physicalactivitycategory,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,datatype,2,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,constraintnode,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,entrypoint,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,speakablespecification,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,observation,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,invoice,1,1.0,2,2,0
LLMs4OL_SchemaOrg_SUB,intangible,offer,1,1.0,2,2,1
LLMs4OL_SchemaOrg_SUB,intangible,seat,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,broadcastservice,2,0.0,2,4,0
LLMs4OL_SchemaOrg_SUB,intangible,itemlistordertype,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,peopleaudience,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,intangible,governmentbenefitstype,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,time,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,intangible,emergencyservice,1,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,intangible,adultorientedenumeration,1,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,datatype,time,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,enumeration,physicalactivitycategory,2,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,enumeration,governmentbenefitstype,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,itemlistordertype,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,enumeration,paymentmethod,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,enumeration,measurementtypeenumeration,4,0.0,2,4,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizegroupenumeration,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,enumeration,measurementmethodenum,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,enumeration,certificationstatusenumeration,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,enumeration,sizesystemenumeration,2,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,enumeration,adultorientedenumeration,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,service,paymentservice,1,1.0,2,3,1
LLMs4OL_SchemaOrg_SUB,service,broadcastservice,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,service,legalservice,1,1.0,2,4,1
LLMs4OL_SchemaOrg_SUB,service,taxiservice,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,service,radiobroadcastservice,1,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,service,emergencyservice,1,1.0,2,6,1
LLMs4OL_SchemaOrg_SUB,organizeaction,bookmarkaction,2,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,action,organizeaction,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,action,transferaction,5,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,action,createaction,3,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,action,consumeaction,2,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,action,eataction,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,action,tieaction,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,action,findaction,1,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,action,allocateaction,2,1.0,2,6,0
LLMs4OL_SchemaOrg_SUB,action,cookaction,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,action,achieveaction,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,action,authorizeaction,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,action,bookmarkaction,1,1.0,2,4,0
LLMs4OL_SchemaOrg_SUB,action,assignaction,1,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,action,takeaction,1,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,clip,movieclip,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,allocateaction,authorizeaction,3,1.0,1,3,0
LLMs4OL_SchemaOrg_SUB,measurementtypeenumeration,wearablemeasurementtypeenumeration,3,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,periodical,2,1.0,1,2,1
LLMs4OL_SchemaOrg_SUB,creativeworkseries,radioseries,2,1.0,2,5,0
LLMs4OL_SchemaOrg_SUB,creativeworkseries,comicseries,2,1.0,2,5,1
LLMs4OL_SchemaOrg_SUB,series,movieseries,2,1.0,1,3,0
LLMs4OL_SchemaOrg_SUB,transferaction,allocateaction,4,0.0,1,4,1
LLMs4OL_SchemaOrg_SUB,transferaction,takeaction,2,1.0,1,3,0
LLMs4OL_SchemaOrg_SUB,transferaction,assignaction,2,1.0,1,3,1
LLMs4OL_SchemaOrg_SUB,medicalprocedure,surgicalprocedure,2,1.0,2,3,0
LLMs4OL_SchemaOrg_SUB,medicalentity,surgicalprocedure,1,1.0,1,1,0
LLMs4OL_SchemaOrg_SUB,medicalentity,therapeuticprocedure,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,medicalentity,medicalcode,1,1.0,1,2,0
LLMs4OL_SchemaOrg_SUB,medicalentity,medicalprocedure,2,1.0,2,5,0
