dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
SemEvalFood_SUB,"dessert (dessert, sweet)",tiramisu,4,1.0,2,7,0
SemEvalFood_SUB,"dessert (dessert, sweet)",crabapple jelly,4,1.0,2,10,0
SemEvalFood_SUB,"dessert (dessert, sweet)",dainty,32,1.0,1,6,1
SemEvalFood_SUB,"dessert (dessert, sweet)",hard candy,4,1.0,2,7,0
SemEvalFood_SUB,"dessert (dessert, sweet)",candy,24,1.0,2,7,0
SemEvalFood_SUB,"dessert (dessert, sweet)",jelly,16,1.0,1,6,0
SemEvalFood_SUB,"dessert (dessert, sweet)",apple jelly,8,1.0,2,9,0
SemEvalFood_SUB,"dessert (dessert, sweet)",confiture,12,1.0,2,6,0
SemEvalFood_SUB,"dessert (dessert, sweet)",conserve,16,1.0,1,3,0
SemEvalFood_SUB,"dessert (dessert, sweet)",sugar water,4,1.0,2,5,1
SemEvalFood_SUB,"dessert (dessert, sweet)",hard sauce,4,1.0,1,2,1
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",tiramisu,3,1.0,2,21,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",appetizer,66,1.0,2,23,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",meatball,6,1.0,2,24,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",bannock,3,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",entree,30,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)","dessert (dessert, sweet)",36,1.0,2,39,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",scampi,3,1.0,2,21,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",potato,9,1.0,2,21,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",antipasto,18,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)","condiment (condiment, sauce, spread)",54,1.0,2,45,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",succotash,3,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",ravigote,3,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",dainty,24,1.0,1,14,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",bread,24,1.0,2,24,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",french bread,6,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",gazpacho,3,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",flatbread,9,1.0,2,23,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",jelly,12,1.0,1,11,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",crabapple jelly,3,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",popcorn,3,1.0,2,19,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",apple jelly,6,1.0,2,15,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",confiture,9,1.0,2,17,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",soup,9,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",home fries,3,1.0,2,18,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",mashed potato,3,1.0,2,16,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",tamale pie,3,1.0,2,20,0
SemEvalFood_SUB,"chow (chow, dish, eatage, fare, food, foodstuff, meal, nutriment)",moo goo gai pan,3,1.0,2,22,0
