dataset,parent,child,leverage,neighborhood_agreement,votes,salience,is_fp
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting enzyme activity assay,8,1.0,2,4,0
LLMs4OL_OBI_SUB,insecticide resistance assay,insecticide resistance by detecting glutathione s-transferase activity assay,4,1.0,2,5,0
LLMs4OL_OBI_SUB,insecticide resistance by detecting enzyme activity assay,insecticide resistance by detecting glutathione s-transferase activity assay,6,1.0,2,5,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting enzyme activity assay,8,1.0,2,4,1
LLMs4OL_OBI_SUB,enzymatic activity level assay,5-nucleotidase activity level assay,4,1.0,2,4,0
LLMs4OL_OBI_SUB,enzymatic activity level assay,insecticide resistance by detecting glutathione s-transferase activity assay,4,1.0,2,5,1
LLMs4OL_OBI_SUB,realizable entity,role,14,1.0,2,4,0
LLMs4OL_OBI_SUB,realizable entity,adjuvant role,2,1.0,2,4,0
LLMs4OL_OBI_SUB,realizable entity,regulatory role,6,1.0,2,5,0
LLMs4OL_OBI_SUB,realizable entity,organization of specimen collector,2,1.0,1,3,1
LLMs4OL_OBI_SUB,realizable entity,function,4,1.0,2,4,1
LLMs4OL_OBI_SUB,realizable entity,accessed material role,2,1.0,2,4,0
LLMs4OL_OBI_SUB,realizable entity,regulator role,4,1.0,2,5,0
LLMs4OL_OBI_SUB,realizable entity,connection function,2,1.0,2,6,1
LLMs4OL_OBI_SUB,realizable entity,role of regulator of consumables and medical devices,2,1.0,1,2,0
LLMs4OL_OBI_SUB,realizable entity,monocyte assay,4,0.0,1,3,1
LLMs4OL_OBI_SUB,role,adjuvant role,3,1.0,2,4,0
LLMs4OL_OBI_SUB,role,regulatory role,9,1.0,2,5,0
LLMs4OL_OBI_SUB,role,regulator role,6,1.0,2,5,0
LLMs4OL_OBI_SUB,role,accessed material role,3,1.0,2,4,0
LLMs4OL_OBI_SUB,role,role of regulator of consumables and medical devices,3,1.0,2,4,0
LLMs4OL_OBI_SUB,role,organization of specimen collector,3,1.0,1,3,1
LLMs4OL_OBI_SUB,continuant,role,7,1.0,2,3,1
LLMs4OL_OBI_SUB,continuant,lactoscope c4,1,1.0,2,3,0
LLMs4OL_OBI_SUB,continuant,vial,3,1.0,2,3,0
LLMs4OL_OBI_SUB,continuant,multichannel pipette,1,1.0,2,4,0
LLMs4OL_OBI_SUB,continuant,test tube,2,1.0,2,4,0
